,Location,Indicator,Period,Dim1,First Tooltip
708,Djibouti,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.34
723,Dominican Republic,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.38
738,Ecuador,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.65
753,Egypt,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.22
768,El Salvador,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.23
783,Equatorial Guinea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.01
798,Eritrea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,4.39
813,Estonia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.49
828,Eswatini,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.35
843,Ethiopia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.97
858,Fiji,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.45
873,Finland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.23
888,France,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.47
903,Gabon,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.97
918,Gambia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.96
933,Georgia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.81
948,Germany,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.14
963,Ghana,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.65
978,Greece,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.24
993,Grenada,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.34
1008,Guatemala,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.17
1023,Guinea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.08
1038,Guinea-Bissau,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.2
1053,Guyana,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.72
1068,Haiti,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.69
1083,Honduras,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.39
1098,Hungary,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.29
1113,Iceland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.21
1128,India,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.45
1143,Indonesia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.41
1158,Iran (Islamic Republic of),Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.2
1173,Iraq,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.52
1188,Ireland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.21
1203,Israel,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.16
1218,Italy,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.27
1233,Jamaica,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.21
1248,Japan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.41
1263,Jordan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.63
1278,Kazakhstan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.56
1293,Kenya,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.82
1308,Kiribati,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.59
1323,Kuwait,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.19
1338,Kyrgyzstan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.69
1353,Lao People's Democratic Republic,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.92
1368,Latvia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.85
1383,Lebanon,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.3
1398,Lesotho,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.16
1413,Liberia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.81
1428,Libya,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.51
1443,Lithuania,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.77
1458,Luxembourg,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.1
1473,Madagascar,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.33
1488,Malawi,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.08
1503,Malaysia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.49
1518,Maldives,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.046
1533,Mali,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.34
1548,Malta,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.12
1563,Mauritania,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.93
1578,Mauritius,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.11
1593,Mexico,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.45
1608,Micronesia (Federated States of),Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.01
1623,Mongolia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.61
1638,Montenegro,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.52
1653,Morocco,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.58
1668,Mozambique,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.03
1683,Myanmar,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.42
1698,Namibia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.64
1713,Nepal,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.48
1728,Netherlands,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.1
1743,New Zealand,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.19
1758,Nicaragua,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.57
1773,Niger,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,4.21
1788,Nigeria,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.98
1803,Norway,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.18
1818,Oman,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.47
1833,Pakistan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.35
1848,Panama,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.39
1863,Papua New Guinea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.78
1878,Paraguay,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.36
1893,Peru,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.92
1908,Philippines,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.25
1923,Poland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.26
1938,Portugal,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.26
1953,Qatar,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.43
1968,Republic of Korea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.53
1983,Republic of Moldova,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.22
1998,The former Yugoslav Republic of Macedonia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.36
2013,Romania,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.4
2028,Russian Federation,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.78
2043,Rwanda,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.51
2058,Saint Lucia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.18
2073,Saint Vincent and the Grenadines,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.17
2088,Samoa,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.5
2103,Sao Tome and Principe,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.89
2118,Saudi Arabia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.66
2133,Senegal,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.38
2148,Serbia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.35
2163,Seychelles,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.59
2178,Sierra Leone,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,4.15
2193,Singapore,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.083
2208,Slovakia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.37
2223,Slovenia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.32
2238,Solomon Islands,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.96
2253,Somalia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,4.75
2268,South Africa,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.29
2283,South Sudan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,4.03
2298,Spain,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.22
2313,Sri Lanka,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.42
2328,Sudan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,4.08
2343,Suriname,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.38
2358,Sweden,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.41
2373,Switzerland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.099
2388,Syrian Arab Republic,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.37
2403,Tajikistan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.21
2418,Thailand,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.41
2433,Timor-Leste,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.44
2448,Togo,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.46
2463,Tonga,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.37
2478,Trinidad and Tobago,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.25
2493,Tunisia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.48
2508,Turkey,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.32
2523,Turkmenistan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.8
2538,Uganda,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.3
2553,Ukraine,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.65
2568,United Arab Emirates,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.26
2583,United Kingdom of Great Britain and Northern Ireland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.26
2598,United Republic of Tanzania,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.79
2613,United States of America,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.9
2628,Uruguay,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.4
2643,Uzbekistan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.09
2658,Vanuatu,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.86
2673,Venezuela (Bolivarian Republic of),Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.3
2688,Viet Nam,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.93
2703,Yemen,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.74
2718,Zambia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.06
2733,Zimbabwe,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.37
