Location,Period,Indicator,First Tooltip
Fiji,2016,Adolescent birth rate (per 1000 women aged 15-19 years),23.1
Finland,2016,Adolescent birth rate (per 1000 women aged 15-19 years),5.5
France,2016,Adolescent birth rate (per 1000 women aged 15-19 years),5.0
Georgia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),43.6
Germany,2016,Adolescent birth rate (per 1000 women aged 15-19 years),9.2
Ghana,2016,Adolescent birth rate (per 1000 women aged 15-19 years),75.1
Greece,2016,Adolescent birth rate (per 1000 women aged 15-19 years),9.2
Guatemala,2016,Adolescent birth rate (per 1000 women aged 15-19 years),78.9
Guinea,2016,Adolescent birth rate (per 1000 women aged 15-19 years),120.0
Hungary,2016,Adolescent birth rate (per 1000 women aged 15-19 years),24.8
Iceland,2016,Adolescent birth rate (per 1000 women aged 15-19 years),6.7
India,2016,Adolescent birth rate (per 1000 women aged 15-19 years),10.7
Indonesia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),36.0
Iran (Islamic Republic of),2016,Adolescent birth rate (per 1000 women aged 15-19 years),33.6
Ireland,2016,Adolescent birth rate (per 1000 women aged 15-19 years),7.4
Israel,2016,Adolescent birth rate (per 1000 women aged 15-19 years),9.0
Italy,2016,Adolescent birth rate (per 1000 women aged 15-19 years),4.8
Jamaica,2016,Adolescent birth rate (per 1000 women aged 15-19 years),55.3
Japan,2016,Adolescent birth rate (per 1000 women aged 15-19 years),3.7
Jordan,2016,Adolescent birth rate (per 1000 women aged 15-19 years),27.0
Kazakhstan,2016,Adolescent birth rate (per 1000 women aged 15-19 years),28.1
Kuwait,2016,Adolescent birth rate (per 1000 women aged 15-19 years),6.6
Kyrgyzstan,2016,Adolescent birth rate (per 1000 women aged 15-19 years),38.1
Lao People's Democratic Republic,2016,Adolescent birth rate (per 1000 women aged 15-19 years),83.4
Latvia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),15.4
Lithuania,2016,Adolescent birth rate (per 1000 women aged 15-19 years),13.3
Luxembourg,2016,Adolescent birth rate (per 1000 women aged 15-19 years),4.7
Malaysia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),10.2
Maldives,2016,Adolescent birth rate (per 1000 women aged 15-19 years),9.8
Malta,2016,Adolescent birth rate (per 1000 women aged 15-19 years),12.6
Mauritius,2016,Adolescent birth rate (per 1000 women aged 15-19 years),24.1
Mexico,2016,Adolescent birth rate (per 1000 women aged 15-19 years),62.5
Montenegro,2016,Adolescent birth rate (per 1000 women aged 15-19 years),10.1
Mozambique,2016,Adolescent birth rate (per 1000 women aged 15-19 years),180.0
Namibia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),63.9
Netherlands,2016,Adolescent birth rate (per 1000 women aged 15-19 years),3.0
New Zealand,2016,Adolescent birth rate (per 1000 women aged 15-19 years),16.0
Niger,2016,Adolescent birth rate (per 1000 women aged 15-19 years),154.0
Norway,2016,Adolescent birth rate (per 1000 women aged 15-19 years),3.9
Oman,2016,Adolescent birth rate (per 1000 women aged 15-19 years),13.5
Pakistan,2016,Adolescent birth rate (per 1000 women aged 15-19 years),46.0
Palau,2016,Adolescent birth rate (per 1000 women aged 15-19 years),33.8
Panama,2016,Adolescent birth rate (per 1000 women aged 15-19 years),79.2
Papua New Guinea,2016,Adolescent birth rate (per 1000 women aged 15-19 years),68.0
Peru,2016,Adolescent birth rate (per 1000 women aged 15-19 years),53.0
Philippines,2016,Adolescent birth rate (per 1000 women aged 15-19 years),46.9
Poland,2016,Adolescent birth rate (per 1000 women aged 15-19 years),12.0
Portugal,2016,Adolescent birth rate (per 1000 women aged 15-19 years),7.9
Qatar,2016,Adolescent birth rate (per 1000 women aged 15-19 years),10.3
Republic of Korea,2016,Adolescent birth rate (per 1000 women aged 15-19 years),1.3
Republic of Moldova,2016,Adolescent birth rate (per 1000 women aged 15-19 years),23.8
The former Yugoslav Republic of Macedonia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),16.0
Romania,2016,Adolescent birth rate (per 1000 women aged 15-19 years),36.5
Russian Federation,2016,Adolescent birth rate (per 1000 women aged 15-19 years),21.5
Rwanda,2016,Adolescent birth rate (per 1000 women aged 15-19 years),41.0
Saint Vincent and the Grenadines,2016,Adolescent birth rate (per 1000 women aged 15-19 years),54.6
Senegal,2016,Adolescent birth rate (per 1000 women aged 15-19 years),77.5
Serbia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),15.4
Seychelles,2016,Adolescent birth rate (per 1000 women aged 15-19 years),65.3
Sierra Leone,2016,Adolescent birth rate (per 1000 women aged 15-19 years),101.3
Singapore,2016,Adolescent birth rate (per 1000 women aged 15-19 years),2.7
Slovakia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),26.2
Slovenia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),4.1
Spain,2016,Adolescent birth rate (per 1000 women aged 15-19 years),7.2
Suriname,2016,Adolescent birth rate (per 1000 women aged 15-19 years),59.6
Sweden,2016,Adolescent birth rate (per 1000 women aged 15-19 years),4.4
Switzerland,2016,Adolescent birth rate (per 1000 women aged 15-19 years),2.9
Tajikistan,2016,Adolescent birth rate (per 1000 women aged 15-19 years),54.3
Thailand,2016,Adolescent birth rate (per 1000 women aged 15-19 years),42.5
Togo,2016,Adolescent birth rate (per 1000 women aged 15-19 years),88.7
Tunisia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),8.5
Turkey,2016,Adolescent birth rate (per 1000 women aged 15-19 years),22.9
Tuvalu,2016,Adolescent birth rate (per 1000 women aged 15-19 years),26.6
Ukraine,2016,Adolescent birth rate (per 1000 women aged 15-19 years),23.2
United Arab Emirates,2016,Adolescent birth rate (per 1000 women aged 15-19 years),6.8
United Kingdom of Great Britain and Northern Ireland,2016,Adolescent birth rate (per 1000 women aged 15-19 years),13.7
United Republic of Tanzania,2016,Adolescent birth rate (per 1000 women aged 15-19 years),138.9
United States of America,2016,Adolescent birth rate (per 1000 women aged 15-19 years),20.3
Uruguay,2016,Adolescent birth rate (per 1000 women aged 15-19 years),50.3
Uzbekistan,2016,Adolescent birth rate (per 1000 women aged 15-19 years),20.9
