,Location,Period,Indicator,First Tooltip
722,Croatia,2015,Maternal mortality ratio (per 100 000 live births),8 [6-11]
740,Cuba,2015,Maternal mortality ratio (per 100 000 live births),38 [35-41]
758,Cyprus,2015,Maternal mortality ratio (per 100 000 live births),7 [4-11]
776,Czechia,2015,Maternal mortality ratio (per 100 000 live births),4 [2-5]
794,Democratic People's Republic of Korea,2015,Maternal mortality ratio (per 100 000 live births),91 [40-204]
812,Democratic Republic of the Congo,2015,Maternal mortality ratio (per 100 000 live births),490 [360-690]
830,Denmark,2015,Maternal mortality ratio (per 100 000 live births),4 [3-5]
848,Djibouti,2015,Maternal mortality ratio (per 100 000 live births),247 [120-518]
866,Dominican Republic,2015,Maternal mortality ratio (per 100 000 live births),94 [89-100]
884,Ecuador,2015,Maternal mortality ratio (per 100 000 live births),63 [58-69]
902,Egypt,2015,Maternal mortality ratio (per 100 000 live births),39 [30-48]
920,El Salvador,2015,Maternal mortality ratio (per 100 000 live births),48 [39-58]
938,Equatorial Guinea,2015,Maternal mortality ratio (per 100 000 live births),296 [181-488]
956,Eritrea,2015,Maternal mortality ratio (per 100 000 live births),518 [363-752]
974,Estonia,2015,Maternal mortality ratio (per 100 000 live births),10 [7-15]
992,Eswatini,2015,Maternal mortality ratio (per 100 000 live births),435 [260-758]
1010,Ethiopia,2015,Maternal mortality ratio (per 100 000 live births),446 [339-607]
1028,Fiji,2015,Maternal mortality ratio (per 100 000 live births),35 [29-43]
1046,Finland,2015,Maternal mortality ratio (per 100 000 live births),3 [2-4]
1064,France,2015,Maternal mortality ratio (per 100 000 live births),8 [7-10]
1082,Gabon,2015,Maternal mortality ratio (per 100 000 live births),261 [176-408]
1100,Gambia,2015,Maternal mortality ratio (per 100 000 live births),625 [471-821]
1118,Georgia,2015,Maternal mortality ratio (per 100 000 live births),27 [24-31]
1136,Germany,2015,Maternal mortality ratio (per 100 000 live births),5 [4-6]
1154,Ghana,2015,Maternal mortality ratio (per 100 000 live births),320 [237-429]
1172,Greece,2015,Maternal mortality ratio (per 100 000 live births),3 [2-4]
1190,Grenada,2015,Maternal mortality ratio (per 100 000 live births),25 [16-38]
1208,Guatemala,2015,Maternal mortality ratio (per 100 000 live births),103 [97-109]
1226,Guinea,2015,Maternal mortality ratio (per 100 000 live births),699 [539-915]
1244,Guinea-Bissau,2015,Maternal mortality ratio (per 100 000 live births),694 [484-1000]
1262,Guyana,2015,Maternal mortality ratio (per 100 000 live births),172 [138-214]
1280,Haiti,2015,Maternal mortality ratio (per 100 000 live births),488 [359-671]
1298,Honduras,2015,Maternal mortality ratio (per 100 000 live births),67 [60-74]
1316,Hungary,2015,Maternal mortality ratio (per 100 000 live births),12 [9-16]
1334,Iceland,2015,Maternal mortality ratio (per 100 000 live births),4 [2-6]
1352,India,2015,Maternal mortality ratio (per 100 000 live births),158 [131-189]
1370,Indonesia,2015,Maternal mortality ratio (per 100 000 live births),192 [142-264]
1388,Iran (Islamic Republic of),2015,Maternal mortality ratio (per 100 000 live births),17 [14-20]
1406,Iraq,2015,Maternal mortality ratio (per 100 000 live births),83 [58-116]
1424,Ireland,2015,Maternal mortality ratio (per 100 000 live births),6 [4-8]
1442,Israel,2015,Maternal mortality ratio (per 100 000 live births),3 [3-4]
1460,Italy,2015,Maternal mortality ratio (per 100 000 live births),2 [1-2]
1478,Jamaica,2015,Maternal mortality ratio (per 100 000 live births),78 [68-92]
1496,Japan,2015,Maternal mortality ratio (per 100 000 live births),5 [3-7]
1514,Jordan,2015,Maternal mortality ratio (per 100 000 live births),48 [34-66]
1532,Kazakhstan,2015,Maternal mortality ratio (per 100 000 live births),12 [10-13]
1550,Kenya,2015,Maternal mortality ratio (per 100 000 live births),353 [268-473]
1568,Kiribati,2015,Maternal mortality ratio (per 100 000 live births),97 [53-162]
1586,Kuwait,2015,Maternal mortality ratio (per 100 000 live births),11 [8-16]
1604,Kyrgyzstan,2015,Maternal mortality ratio (per 100 000 live births),66 [56-81]
1622,Lao People's Democratic Republic,2015,Maternal mortality ratio (per 100 000 live births),209 [161-277]
1640,Latvia,2015,Maternal mortality ratio (per 100 000 live births),23 [18-30]
1658,Lebanon,2015,Maternal mortality ratio (per 100 000 live births),29 [22-38]
1676,Lesotho,2015,Maternal mortality ratio (per 100 000 live births),574 [420-799]
1694,Liberia,2015,Maternal mortality ratio (per 100 000 live births),691 [518-949]
1712,Libya,2015,Maternal mortality ratio (per 100 000 live births),70 [31-158]
1730,Lithuania,2015,Maternal mortality ratio (per 100 000 live births),9 [6-13]
1748,Luxembourg,2015,Maternal mortality ratio (per 100 000 live births),5 [3-8]
1766,Madagascar,2015,Maternal mortality ratio (per 100 000 live births),363 [256-510]
1784,Malawi,2015,Maternal mortality ratio (per 100 000 live births),370 [269-517]
1802,Malaysia,2015,Maternal mortality ratio (per 100 000 live births),30 [25-35]
1820,Maldives,2015,Maternal mortality ratio (per 100 000 live births),54 [37-83]
1838,Mali,2015,Maternal mortality ratio (per 100 000 live births),620 [472-833]
1856,Malta,2015,Maternal mortality ratio (per 100 000 live births),7 [4-11]
1874,Mauritania,2015,Maternal mortality ratio (per 100 000 live births),785 [560-1120]
1892,Mauritius,2015,Maternal mortality ratio (per 100 000 live births),73 [57-97]
1910,Mexico,2015,Maternal mortality ratio (per 100 000 live births),36 [35-37]
1928,Micronesia (Federated States of),2015,Maternal mortality ratio (per 100 000 live births),95 [44-204]
1946,Mongolia,2015,Maternal mortality ratio (per 100 000 live births),47 [39-56]
1964,Montenegro,2015,Maternal mortality ratio (per 100 000 live births),6 [3-10]
1982,Morocco,2015,Maternal mortality ratio (per 100 000 live births),74 [58-92]
2000,Mozambique,2015,Maternal mortality ratio (per 100 000 live births),318 [234-441]
2018,Myanmar,2015,Maternal mortality ratio (per 100 000 live births),246 [186-332]
2036,Namibia,2015,Maternal mortality ratio (per 100 000 live births),217 [162-301]
2054,Nepal,2015,Maternal mortality ratio (per 100 000 live births),236 [177-325]
2072,Netherlands,2015,Maternal mortality ratio (per 100 000 live births),6 [4-7]
2090,New Zealand,2015,Maternal mortality ratio (per 100 000 live births),10 [8-11]
2108,Nicaragua,2015,Maternal mortality ratio (per 100 000 live births),101 [80-129]
2126,Niger,2015,Maternal mortality ratio (per 100 000 live births),555 [409-767]
2144,Nigeria,2015,Maternal mortality ratio (per 100 000 live births),931 [687-1290]
2162,Norway,2015,Maternal mortality ratio (per 100 000 live births),3 [2-3]
2180,Oman,2015,Maternal mortality ratio (per 100 000 live births),19 [16-21]
2198,Pakistan,2015,Maternal mortality ratio (per 100 000 live births),154 [96-247]
2216,Panama,2015,Maternal mortality ratio (per 100 000 live births),58 [52-64]
2234,Papua New Guinea,2015,Maternal mortality ratio (per 100 000 live births),151 [70-324]
2252,Paraguay,2015,Maternal mortality ratio (per 100 000 live births),88 [77-101]
2270,Peru,2015,Maternal mortality ratio (per 100 000 live births),94 [75-114]
2288,Philippines,2015,Maternal mortality ratio (per 100 000 live births),127 [99-170]
2306,Poland,2015,Maternal mortality ratio (per 100 000 live births),2 [2-3]
2324,Portugal,2015,Maternal mortality ratio (per 100 000 live births),9 [7-11]
2342,Qatar,2015,Maternal mortality ratio (per 100 000 live births),9 [6-14]
2360,Republic of Korea,2015,Maternal mortality ratio (per 100 000 live births),12 [10-13]
2378,Republic of Moldova,2015,Maternal mortality ratio (per 100 000 live births),22 [18-27]
2396,The former Yugoslav Republic of Macedonia,2015,Maternal mortality ratio (per 100 000 live births),8 [5-11]
2414,Romania,2015,Maternal mortality ratio (per 100 000 live births),21 [16-27]
2432,Russian Federation,2015,Maternal mortality ratio (per 100 000 live births),18 [14-24]
2450,Rwanda,2015,Maternal mortality ratio (per 100 000 live births),275 [208-372]
2468,Saint Lucia,2015,Maternal mortality ratio (per 100 000 live births),115 [72-185]
2486,Saint Vincent and the Grenadines,2015,Maternal mortality ratio (per 100 000 live births),64 [42-92]
2504,Samoa,2015,Maternal mortality ratio (per 100 000 live births),45 [21-100]
2522,Sao Tome and Principe,2015,Maternal mortality ratio (per 100 000 live births),130 [75-213]
2540,Saudi Arabia,2015,Maternal mortality ratio (per 100 000 live births),17 [10-29]
2558,Senegal,2015,Maternal mortality ratio (per 100 000 live births),346 [265-464]
2576,Serbia,2015,Maternal mortality ratio (per 100 000 live births),13 [10-17]
2594,Seychelles,2015,Maternal mortality ratio (per 100 000 live births),54 [27-109]
2612,Sierra Leone,2015,Maternal mortality ratio (per 100 000 live births),1180 [877-1650]
2630,Singapore,2015,Maternal mortality ratio (per 100 000 live births),9 [6-13]
2648,Slovakia,2015,Maternal mortality ratio (per 100 000 live births),6 [4-8]
2666,Slovenia,2015,Maternal mortality ratio (per 100 000 live births),7 [5-9]
2684,Solomon Islands,2015,Maternal mortality ratio (per 100 000 live births),112 [76-164]
2702,Somalia,2015,Maternal mortality ratio (per 100 000 live births),855 [408-1620]
2720,South Africa,2015,Maternal mortality ratio (per 100 000 live births),125 [103-157]
2738,South Sudan,2015,Maternal mortality ratio (per 100 000 live births),1110 [781-1590]
2756,Spain,2015,Maternal mortality ratio (per 100 000 live births),4 [3-5]
2774,Sri Lanka,2015,Maternal mortality ratio (per 100 000 live births),36 [32-41]
2792,Sudan,2015,Maternal mortality ratio (per 100 000 live births),320 [231-431]
2810,Suriname,2015,Maternal mortality ratio (per 100 000 live births),122 [101-142]
2828,Sweden,2015,Maternal mortality ratio (per 100 000 live births),4 [3-6]
2846,Switzerland,2015,Maternal mortality ratio (per 100 000 live births),5 [4-7]
2864,Syrian Arab Republic,2015,Maternal mortality ratio (per 100 000 live births),30 [20-46]
2882,Tajikistan,2015,Maternal mortality ratio (per 100 000 live births),18 [11-27]
2900,Thailand,2015,Maternal mortality ratio (per 100 000 live births),38 [34-42]
2918,Timor-Leste,2015,Maternal mortality ratio (per 100 000 live births),160 [121-210]
2936,Togo,2015,Maternal mortality ratio (per 100 000 live births),398 [280-546]
2954,Tonga,2015,Maternal mortality ratio (per 100 000 live births),54 [26-118]
2972,Trinidad and Tobago,2015,Maternal mortality ratio (per 100 000 live births),68 [52-89]
2990,Tunisia,2015,Maternal mortality ratio (per 100 000 live births),46 [36-55]
3008,Turkey,2015,Maternal mortality ratio (per 100 000 live births),19 [16-21]
3026,Turkmenistan,2015,Maternal mortality ratio (per 100 000 live births),8 [6-11]
3044,Uganda,2015,Maternal mortality ratio (per 100 000 live births),387 [293-520]
3062,Ukraine,2015,Maternal mortality ratio (per 100 000 live births),21 [16-27]
3080,United Arab Emirates,2015,Maternal mortality ratio (per 100 000 live births),3 [2-5]
3098,United Kingdom of Great Britain and Northern Ireland,2015,Maternal mortality ratio (per 100 000 live births),8 [7-8]
3116,United Republic of Tanzania,2015,Maternal mortality ratio (per 100 000 live births),556 [434-732]
3134,United States of America,2015,Maternal mortality ratio (per 100 000 live births),18 [16-19]
3152,Uruguay,2015,Maternal mortality ratio (per 100 000 live births),18 [16-21]
3170,Uzbekistan,2015,Maternal mortality ratio (per 100 000 live births),30 [24-37]
3188,Vanuatu,2015,Maternal mortality ratio (per 100 000 live births),76 [35-166]
3206,Venezuela (Bolivarian Republic of),2015,Maternal mortality ratio (per 100 000 live births),115 [92-151]
3224,Viet Nam,2015,Maternal mortality ratio (per 100 000 live births),45 [33-62]
3242,Yemen,2015,Maternal mortality ratio (per 100 000 live births),169 [105-264]
3260,Zambia,2015,Maternal mortality ratio (per 100 000 live births),232 [178-305]
3278,Zimbabwe,2015,Maternal mortality ratio (per 100 000 live births),480 [385-588]
