,Location,Period,Indicator,Dim1,First Tooltip
1770,Panama,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1785,Papua New Guinea,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.38 [0.32-0.46]
1800,Paraguay,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.16 [0.1-0.25]
1815,Peru,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.1 [0.07-0.14]
1830,Philippines,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.12-0.17]
1845,Poland,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1860,Portugal,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1875,Qatar,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1890,Republic of Korea,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1905,Republic of Moldova,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.23 [0.17-0.32]
1920,The former Yugoslav Republic of Macedonia,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1935,Romania,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.03-0.05]
1950,Russian Federation,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1965,Rwanda,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.44 [0.31-0.59]
1980,Saudi Arabia,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1995,Senegal,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.09 [0.07-0.13]
2010,Serbia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.02 [0.01-0.04]
2025,Sierra Leone,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.65 [0.47-0.84]
2040,Singapore,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.03
2055,Slovakia,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
2070,Slovenia,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
2085,Somalia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.03 [0.02-0.04]
2100,South Africa,2019,New HIV infections (per 1000 uninfected population),Both sexes,3.98 [3.58-4.42]
2115,South Sudan,2019,New HIV infections (per 1000 uninfected population),Both sexes,1.5 [1.03-2.1]
2130,Spain,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.06 [0.04-0.08]
2145,Sri Lanka,2019,New HIV infections (per 1000 uninfected population),Both sexes,<0.01 [<0.01–<0.01]
2160,Sudan,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.08 [0.06-0.11]
2175,Suriname,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.45 [0.27-0.67]
2190,Sweden,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
2205,Switzerland,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.03
2220,Syrian Arab Republic,2019,New HIV infections (per 1000 uninfected population),Both sexes,<0.01 [<0.01–<0.01]
2235,Tajikistan,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.17 [0.15-0.23]
2250,Thailand,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.08 [0.07-0.09]
2265,Timor-Leste,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.15 [0.08-0.23]
2280,Togo,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.59 [0.41-0.88]
2295,Trinidad and Tobago,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.07 [0.03-0.13]
2310,Tunisia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.05 [0.03-0.09]
2325,Turkey,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
2340,Turkmenistan,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
2355,Uganda,2019,New HIV infections (per 1000 uninfected population),Both sexes,1.38 [1.09-1.87]
2370,Ukraine,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.28 [0.23-0.34]
2385,United Arab Emirates,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
2400,United Kingdom of Great Britain and Northern Ireland,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
2415,United Republic of Tanzania,2019,New HIV infections (per 1000 uninfected population),Both sexes,1.46 [1.28-1.64]
2430,United States of America,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
2445,Uruguay,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
2460,Uzbekistan,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.13 [0.12-0.15]
2475,Venezuela (Bolivarian Republic of),2019,New HIV infections (per 1000 uninfected population),Both sexes,0.19 [0.12-0.26]
2490,Viet Nam,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.05 [0.05-0.06]
2505,Yemen,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.02-0.08]
2520,Zambia,2019,New HIV infections (per 1000 uninfected population),Both sexes,3.17 [2.65-3.88]
2535,Zimbabwe,2019,New HIV infections (per 1000 uninfected population),Both sexes,2.81 [1.97-3.87]
