Location,Period,Indicator,First Tooltip
Luxembourg,2016,"Nursing and midwifery personnel (per 10,000)",121.6
Malawi,2016,"Nursing and midwifery personnel (per 10,000)",2.99
Malaysia,2016,"Nursing and midwifery personnel (per 10,000)",33.97
Mali,2016,"Nursing and midwifery personnel (per 10,000)",4.13
Mauritius,2016,"Nursing and midwifery personnel (per 10,000)",32.76
Mexico,2016,"Nursing and midwifery personnel (per 10,000)",25.1
Mongolia,2016,"Nursing and midwifery personnel (per 10,000)",40.8
Mozambique,2016,"Nursing and midwifery personnel (per 10,000)",6.79
Myanmar,2016,"Nursing and midwifery personnel (per 10,000)",10.34
Namibia,2016,"Nursing and midwifery personnel (per 10,000)",20.42
Netherlands,2016,"Nursing and midwifery personnel (per 10,000)",109.3
New Zealand,2016,"Nursing and midwifery personnel (per 10,000)",121.3
Nicaragua,2016,"Nursing and midwifery personnel (per 10,000)",14.66
Niger,2016,"Nursing and midwifery personnel (per 10,000)",2.7
Nigeria,2016,"Nursing and midwifery personnel (per 10,000)",17.55
Norway,2016,"Nursing and midwifery personnel (per 10,000)",179.9
Oman,2016,"Nursing and midwifery personnel (per 10,000)",44.12
Pakistan,2016,"Nursing and midwifery personnel (per 10,000)",4.87
Panama,2016,"Nursing and midwifery personnel (per 10,000)",29.86
Paraguay,2016,"Nursing and midwifery personnel (per 10,000)",7.04
Peru,2016,"Nursing and midwifery personnel (per 10,000)",21.76
Poland,2016,"Nursing and midwifery personnel (per 10,000)",57.58
Portugal,2016,"Nursing and midwifery personnel (per 10,000)",66.62
Qatar,2016,"Nursing and midwifery personnel (per 10,000)",63.92
Republic of Korea,2016,"Nursing and midwifery personnel (per 10,000)",70.22
Romania,2016,"Nursing and midwifery personnel (per 10,000)",60.92
Russian Federation,2016,"Nursing and midwifery personnel (per 10,000)",85.43
Rwanda,2016,"Nursing and midwifery personnel (per 10,000)",11.78
Saint Vincent and the Grenadines,2016,"Nursing and midwifery personnel (per 10,000)",84.11
Saudi Arabia,2016,"Nursing and midwifery personnel (per 10,000)",56.71
Senegal,2016,"Nursing and midwifery personnel (per 10,000)",3.0
Serbia,2016,"Nursing and midwifery personnel (per 10,000)",60.86
Seychelles,2016,"Nursing and midwifery personnel (per 10,000)",80.77
Sierra Leone,2016,"Nursing and midwifery personnel (per 10,000)",2.24
Singapore,2016,"Nursing and midwifery personnel (per 10,000)",61.68
Slovakia,2016,"Nursing and midwifery personnel (per 10,000)",60.67
Slovenia,2016,"Nursing and midwifery personnel (per 10,000)",96.97
South Africa,2016,"Nursing and midwifery personnel (per 10,000)",13.32
Spain,2016,"Nursing and midwifery personnel (per 10,000)",54.97
Sri Lanka,2016,"Nursing and midwifery personnel (per 10,000)",19.48
Suriname,2016,"Nursing and midwifery personnel (per 10,000)",19.54
Sweden,2016,"Nursing and midwifery personnel (per 10,000)",117.6
Switzerland,2016,"Nursing and midwifery personnel (per 10,000)",173.3
Syrian Arab Republic,2016,"Nursing and midwifery personnel (per 10,000)",15.41
Thailand,2016,"Nursing and midwifery personnel (per 10,000)",27.72
Togo,2016,"Nursing and midwifery personnel (per 10,000)",3.17
Trinidad and Tobago,2016,"Nursing and midwifery personnel (per 10,000)",42.64
Tunisia,2016,"Nursing and midwifery personnel (per 10,000)",26.58
Turkey,2016,"Nursing and midwifery personnel (per 10,000)",25.73
Uganda,2016,"Nursing and midwifery personnel (per 10,000)",16.4
United Arab Emirates,2016,"Nursing and midwifery personnel (per 10,000)",55.31
United Kingdom of Great Britain and Northern Ireland,2016,"Nursing and midwifery personnel (per 10,000)",82.75
Viet Nam,2016,"Nursing and midwifery personnel (per 10,000)",14.46
Yemen,2016,"Nursing and midwifery personnel (per 10,000)",7.49
Zambia,2016,"Nursing and midwifery personnel (per 10,000)",2.04
Zimbabwe,2016,"Nursing and midwifery personnel (per 10,000)",14.0
