Location,Period,Indicator,Dim1,First Tooltip
Congo,2015,New HIV infections (per 1000 uninfected population),Both sexes,1.56 [1.03-2.34]
Costa Rica,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.18 [0.13-0.24]
Côte d’Ivoire,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.86 [0.67-1.08]
Croatia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.02 [0.01-0.03]
Cuba,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.2 [0.11-0.31]
Cyprus,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Czechia,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Democratic People's Republic of Korea,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Democratic Republic of the Congo,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.32 [0.23-0.42]
Denmark,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Djibouti,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.22 [0.12-0.44]
Dominican Republic,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.29 [0.2-0.39]
Ecuador,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.17 [0.11-0.32]
Egypt,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.03 [0.02-0.04]
El Salvador,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.18 [0.15-0.24]
Equatorial Guinea,2015,New HIV infections (per 1000 uninfected population),Both sexes,4.16 [2.64-6.22]
Eritrea,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.08-0.24]
Estonia,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Eswatini,2015,New HIV infections (per 1000 uninfected population),Both sexes,11.31 [10.05-12.49]
Ethiopia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.21 [0.11-0.37]
Fiji,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.11 [0.06-0.25]
Finland,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
France,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.1 [0.08-0.12]
Gabon,2015,New HIV infections (per 1000 uninfected population),Both sexes,1.15 [0.66-1.73]
Gambia,2015,New HIV infections (per 1000 uninfected population),Both sexes,1.1 [0.77-1.52]
Georgia,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Germany,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Ghana,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.8 [0.49-1.23]
Greece,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Guatemala,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.09 [0.06-0.13]
Guinea,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.57 [0.44-0.73]
Guinea-Bissau,2015,New HIV infections (per 1000 uninfected population),Both sexes,1.51 [1.25-1.77]
Guyana,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.51 [0.41-0.64]
Haiti,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.69 [0.55-0.85]
Honduras,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.13 [0.09-0.17]
Hungary,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Iceland,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
India,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Indonesia,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Iran (Islamic Republic of),2015,New HIV infections (per 1000 uninfected population),Both sexes,0.06 [0.02-0.14]
Ireland,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Israel,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Italy,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.06 [0.02-0.13]
Jamaica,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.62 [0.44-1.02]
Japan,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Jordan,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Kazakhstan,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.17 [0.16-0.2]
Kenya,2015,New HIV infections (per 1000 uninfected population),Both sexes,1.31 [0.85-2.05]
Kuwait,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Kyrgyzstan,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.16 [0.16-0.16]
Lao People's Democratic Republic,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.12-0.15]
Latvia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.18 [0.11-0.26]
Lebanon,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.03 [0.02-0.06]
Lesotho,2015,New HIV infections (per 1000 uninfected population),Both sexes,8.13 [7-9.3]
Liberia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.64 [0.47-0.9]
Libya,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.1 [0.07-0.13]
Lithuania,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.09 [0.08-0.11]
Luxembourg,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Madagascar,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.19 [0.15-0.23]
Malawi,2015,New HIV infections (per 1000 uninfected population),Both sexes,2.77 [2.5-3.05]
Malaysia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.17 [0.15-0.19]
Maldives,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Mali,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Malta,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Mauritania,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Mauritius,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.49 [0.36-0.65]
Mexico,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Mongolia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.02 [0.01-0.02]
Montenegro,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.05 [0.01-0.1]
Morocco,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.03 [0.02-0.04]
Mozambique,2015,New HIV infections (per 1000 uninfected population),Both sexes,5.78 [3.58-9.17]
Myanmar,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.26 [0.23-0.28]
Namibia,2015,New HIV infections (per 1000 uninfected population),Both sexes,4 [3.32-4.65]
Nepal,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.04-0.05]
Netherlands,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.03-0.04]
New Zealand,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.03 [0.02-0.07]
Nicaragua,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.08 [0.05-0.11]
Niger,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.07 [0.06-0.1]
Nigeria,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.57 [0.34-0.97]
Norway,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Oman,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.03-0.06]
Pakistan,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.1 [0.09-0.11]
Panama,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Papua New Guinea,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.39 [0.34-0.44]
Paraguay,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.18 [0.12-0.29]
Peru,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.13 [0.1-0.17]
Philippines,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.1 [0.08-0.12]
Poland,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Portugal,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Qatar,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Republic of Korea,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Republic of Moldova,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.28 [0.21-0.38]
The former Yugoslav Republic of Macedonia,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Romania,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.03-0.05]
Russian Federation,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Rwanda,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.58 [0.44-0.71]
Saudi Arabia,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Senegal,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.11 [0.09-0.15]
Serbia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.02 [0.02-0.03]
Sierra Leone,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.81 [0.66-0.96]
Singapore,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.02-0.07]
Slovakia,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Slovenia,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Somalia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.03 [0.02-0.04]
South Africa,2015,New HIV infections (per 1000 uninfected population),Both sexes,5.94 [5.46-6.57]
South Sudan,2015,New HIV infections (per 1000 uninfected population),Both sexes,1.46 [1.05-1.91]
Spain,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.08 [0.06-0.1]
Sri Lanka,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.01 [0.01-0.01]
Sudan,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.09 [0.07-0.12]
Suriname,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.54 [0.34-0.76]
Sweden,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Switzerland,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.05 [0.03-0.08]
Syrian Arab Republic,2015,New HIV infections (per 1000 uninfected population),Both sexes,<0.01 [<0.01–<0.01]
Tajikistan,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.16 [0.14-0.21]
Thailand,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.13-0.15]
Timor-Leste,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.11 [0.08-0.16]
Togo,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.79 [0.62-1.07]
Trinidad and Tobago,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.11 [0.07-0.17]
Tunisia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.05 [0.03-0.08]
Turkey,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Turkmenistan,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Uganda,2015,New HIV infections (per 1000 uninfected population),Both sexes,2.02 [1.74-2.5]
Ukraine,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.3 [0.25-0.36]
United Arab Emirates,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
United Kingdom of Great Britain and Northern Ireland,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
United Republic of Tanzania,2015,New HIV infections (per 1000 uninfected population),Both sexes,1.91 [1.74-2.08]
United States of America,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.12 [0.1-0.15]
Uruguay,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Uzbekistan,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.15 [0.14-0.16]
Venezuela (Bolivarian Republic of),2015,New HIV infections (per 1000 uninfected population),Both sexes,0.2 [0.14-0.26]
Viet Nam,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.11 [0.09-0.12]
Yemen,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.02-0.07]
Zambia,2015,New HIV infections (per 1000 uninfected population),Both sexes,4.11 [3.45-5.04]
Zimbabwe,2015,New HIV infections (per 1000 uninfected population),Both sexes,3.91 [2.75-5.4]
