Location,Indicator,Period,First Tooltip
Malawi,Incidence of tuberculosis (per 100 000 population per year),2015,197 [106-316]
Malaysia,Incidence of tuberculosis (per 100 000 population per year),2015,90 [77-103]
Maldives,Incidence of tuberculosis (per 100 000 population per year),2015,42 [32-53]
Mali,Incidence of tuberculosis (per 100 000 population per year),2015,57 [37-81]
Malta,Incidence of tuberculosis (per 100 000 population per year),2015,8.5 [7.3-9.8]
Marshall Islands,Incidence of tuberculosis (per 100 000 population per year),2015,300 [230-380]
Mauritania,Incidence of tuberculosis (per 100 000 population per year),2015,107 [69-152]
Mauritius,Incidence of tuberculosis (per 100 000 population per year),2015,13 [9.7-16]
Mexico,Incidence of tuberculosis (per 100 000 population per year),2015,22 [17-28]
Micronesia (Federated States of),Incidence of tuberculosis (per 100 000 population per year),2015,119 [91-151]
Monaco,Incidence of tuberculosis (per 100 000 population per year),2015,0 [0-0]
Mongolia,Incidence of tuberculosis (per 100 000 population per year),2015,428 [220-703]
Montenegro,Incidence of tuberculosis (per 100 000 population per year),2015,15 [13-17]
Morocco,Incidence of tuberculosis (per 100 000 population per year),2015,102 [87-117]
Mozambique,Incidence of tuberculosis (per 100 000 population per year),2015,361 [223-532]
Myanmar,Incidence of tuberculosis (per 100 000 population per year),2015,391 [248-567]
Namibia,Incidence of tuberculosis (per 100 000 population per year),2015,639 [457-850]
Nauru,Incidence of tuberculosis (per 100 000 population per year),2015,111 [95-128]
Nepal,Incidence of tuberculosis (per 100 000 population per year),2015,268 [166-394]
Netherlands,Incidence of tuberculosis (per 100 000 population per year),2015,5.8 [4.9-6.7]
New Zealand,Incidence of tuberculosis (per 100 000 population per year),2015,7.3 [6.2-8.4]
Nicaragua,Incidence of tuberculosis (per 100 000 population per year),2015,50 [38-63]
Niger,Incidence of tuberculosis (per 100 000 population per year),2015,95 [62-136]
Nigeria,Incidence of tuberculosis (per 100 000 population per year),2015,219 [143-311]
Niue,Incidence of tuberculosis (per 100 000 population per year),2015,0 [0-0]
Norway,Incidence of tuberculosis (per 100 000 population per year),2015,6.3 [5.4-7.3]
Oman,Incidence of tuberculosis (per 100 000 population per year),2015,8.8 [7.6-10]
Pakistan,Incidence of tuberculosis (per 100 000 population per year),2015,270 [180-378]
Palau,Incidence of tuberculosis (per 100 000 population per year),2015,91 [78-105]
Panama,Incidence of tuberculosis (per 100 000 population per year),2015,52 [40-66]
Papua New Guinea,Incidence of tuberculosis (per 100 000 population per year),2015,432 [352-521]
Paraguay,Incidence of tuberculosis (per 100 000 population per year),2015,40 [35-47]
Peru,Incidence of tuberculosis (per 100 000 population per year),2015,122 [94-155]
Philippines,Incidence of tuberculosis (per 100 000 population per year),2015,550 [307-862]
Poland,Incidence of tuberculosis (per 100 000 population per year),2015,19 [16-22]
Portugal,Incidence of tuberculosis (per 100 000 population per year),2015,23 [20-27]
Qatar,Incidence of tuberculosis (per 100 000 population per year),2015,24 [20-27]
Republic of Korea,Incidence of tuberculosis (per 100 000 population per year),2015,79 [74-85]
Republic of Moldova,Incidence of tuberculosis (per 100 000 population per year),2015,102 [87-118]
The former Yugoslav Republic of Macedonia,Incidence of tuberculosis (per 100 000 population per year),2015,17 [13-21]
Romania,Incidence of tuberculosis (per 100 000 population per year),2015,82 [70-95]
Russian Federation,Incidence of tuberculosis (per 100 000 population per year),2015,67 [43-95]
Rwanda,Incidence of tuberculosis (per 100 000 population per year),2015,61 [47-77]
Saint Kitts and Nevis,Incidence of tuberculosis (per 100 000 population per year),2015,4.1 [3.5-4.7]
Saint Lucia,Incidence of tuberculosis (per 100 000 population per year),2015,9 [7.7-10]
Saint Vincent and the Grenadines,Incidence of tuberculosis (per 100 000 population per year),2015,7.4 [6.3-8.5]
Samoa,Incidence of tuberculosis (per 100 000 population per year),2015,11 [9.7-13]
San Marino,Incidence of tuberculosis (per 100 000 population per year),2015,0 [0-0]
Sao Tome and Principe,Incidence of tuberculosis (per 100 000 population per year),2015,156 [62-293]
Saudi Arabia,Incidence of tuberculosis (per 100 000 population per year),2015,12 [10-14]
Senegal,Incidence of tuberculosis (per 100 000 population per year),2015,123 [88-165]
Serbia,Incidence of tuberculosis (per 100 000 population per year),2015,21 [18-25]
Seychelles,Incidence of tuberculosis (per 100 000 population per year),2015,9.7 [8.3-11]
Sierra Leone,Incidence of tuberculosis (per 100 000 population per year),2015,307 [198-438]
Singapore,Incidence of tuberculosis (per 100 000 population per year),2015,45 [38-51]
Slovakia,Incidence of tuberculosis (per 100 000 population per year),2015,6.5 [5.6-7.5]
Slovenia,Incidence of tuberculosis (per 100 000 population per year),2015,7.2 [6.1-8.3]
Solomon Islands,Incidence of tuberculosis (per 100 000 population per year),2015,86 [66-109]
Somalia,Incidence of tuberculosis (per 100 000 population per year),2015,274 [177-391]
South Africa,Incidence of tuberculosis (per 100 000 population per year),2015,988 [688-1340]
South Sudan,Incidence of tuberculosis (per 100 000 population per year),2015,227 [147-324]
Spain,Incidence of tuberculosis (per 100 000 population per year),2015,9.9 [8.5-11]
Sri Lanka,Incidence of tuberculosis (per 100 000 population per year),2015,65 [47-86]
Sudan,Incidence of tuberculosis (per 100 000 population per year),2015,88 [53-131]
Suriname,Incidence of tuberculosis (per 100 000 population per year),2015,32 [25-41]
Sweden,Incidence of tuberculosis (per 100 000 population per year),2015,9.2 [7.9-11]
Switzerland,Incidence of tuberculosis (per 100 000 population per year),2015,7.4 [6.3-8.5]
Syrian Arab Republic,Incidence of tuberculosis (per 100 000 population per year),2015,20 [15-26]
Tajikistan,Incidence of tuberculosis (per 100 000 population per year),2015,86 [66-109]
Thailand,Incidence of tuberculosis (per 100 000 population per year),2015,163 [100-242]
Timor-Leste,Incidence of tuberculosis (per 100 000 population per year),2015,498 [322-712]
Togo,Incidence of tuberculosis (per 100 000 population per year),2015,52 [37-69]
Tonga,Incidence of tuberculosis (per 100 000 population per year),2015,16 [14-18]
Trinidad and Tobago,Incidence of tuberculosis (per 100 000 population per year),2015,16 [14-19]
Tunisia,Incidence of tuberculosis (per 100 000 population per year),2015,38 [29-48]
Turkey,Incidence of tuberculosis (per 100 000 population per year),2015,18 [16-21]
Turkmenistan,Incidence of tuberculosis (per 100 000 population per year),2015,49 [38-62]
Tuvalu,Incidence of tuberculosis (per 100 000 population per year),2015,207 [177-239]
Uganda,Incidence of tuberculosis (per 100 000 population per year),2015,202 [120-304]
Ukraine,Incidence of tuberculosis (per 100 000 population per year),2015,91 [59-130]
United Arab Emirates,Incidence of tuberculosis (per 100 000 population per year),2015,0.78 [0.67-0.9]
United Kingdom of Great Britain and Northern Ireland,Incidence of tuberculosis (per 100 000 population per year),2015,10 [9-11]
United Republic of Tanzania,Incidence of tuberculosis (per 100 000 population per year),2015,306 [146-525]
United States of America,Incidence of tuberculosis (per 100 000 population per year),2015,3.2 [2.8-3.8]
Uruguay,Incidence of tuberculosis (per 100 000 population per year),2015,30 [26-35]
Uzbekistan,Incidence of tuberculosis (per 100 000 population per year),2015,79 [57-105]
Vanuatu,Incidence of tuberculosis (per 100 000 population per year),2015,63 [52-74]
Venezuela (Bolivarian Republic of),Incidence of tuberculosis (per 100 000 population per year),2015,30 [23-38]
Viet Nam,Incidence of tuberculosis (per 100 000 population per year),2015,199 [125-290]
Yemen,Incidence of tuberculosis (per 100 000 population per year),2015,48 [42-54]
Zambia,Incidence of tuberculosis (per 100 000 population per year),2015,391 [253-558]
Zimbabwe,Incidence of tuberculosis (per 100 000 population per year),2015,242 [179-314]
