Location,Period,Indicator,Dim1,First Tooltip
Democratic Republic of the Congo,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.05
Denmark,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.36
Djibouti,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.49
Dominica,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.32
Dominican Republic,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.61
Ecuador,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.98
Egypt,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.4
El Salvador,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.59
Equatorial Guinea,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.08
Eritrea,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.42
Estonia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.39
Eswatini,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.84
Ethiopia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.19
Fiji,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.33
Finland,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.18
France,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.64
Gabon,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.57
Gambia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.67
Georgia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.61
Germany,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,13.06
Ghana,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.12
Greece,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.49
Grenada,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.07
Guatemala,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.55
Guinea,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.07
Guinea-Bissau,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.05
Guyana,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.35
Haiti,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.69
Honduras,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.49
Hungary,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.6
Iceland,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.74
India,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.54
Indonesia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.6
Iran (Islamic Republic of),2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.01
Iraq,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.37
Ireland,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.47
Israel,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.86
Italy,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.59
Jamaica,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.19
Japan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.87
Jordan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.69
Kazakhstan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.66
Kenya,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.77
Kiribati,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.52
Kuwait,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.003
Kyrgyzstan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.59
Lao People's Democratic Republic,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.05
Latvia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.64
Lebanon,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.65
Lesotho,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.8
Liberia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.7
Libya,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.028999999999999998
Lithuania,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,15.38
Luxembourg,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,13.18
Madagascar,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.88
Malawi,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.62
Malaysia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.85
Maldives,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.07
Mali,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.25
Malta,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.56
Mauritania,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.033
Mauritius,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.94
Mexico,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.92
Micronesia (Federated States of),2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.44
Mongolia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.97
Montenegro,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.92
Morocco,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.7
Mozambique,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.19
Myanmar,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.41
Namibia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.23
Nauru,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.71
Nepal,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.05
Netherlands,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.55
New Zealand,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.44
Nicaragua,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.03
Niger,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.55
Nigeria,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.81
Niue,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.28
Norway,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.52
Oman,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.77
Pakistan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.29
Panama,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.71
Papua New Guinea,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.39
Paraguay,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.26
Peru,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.63
Philippines,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.7
Poland,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.63
Portugal,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.88
Qatar,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.62
Republic of Korea,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.04
Republic of Moldova,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.87
The former Yugoslav Republic of Macedonia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.93
Romania,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.64
Russian Federation,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.47
Rwanda,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.26
Saint Kitts and Nevis,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.88
Saint Lucia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.97
Saint Vincent and the Grenadines,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.46
Samoa,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.59
Sao Tome and Principe,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.19
Saudi Arabia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.2
Senegal,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.73
Serbia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.7
Seychelles,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,18.35
Sierra Leone,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.63
Singapore,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.07
Slovakia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.53
Slovenia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.74
Solomon Islands,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.55
Somalia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.013000000000000001
South Africa,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.61
Spain,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.32
Sri Lanka,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.1
Sudan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.52
Suriname,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.81
Sweden,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.13
Switzerland,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.58
Syrian Arab Republic,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.28
Tajikistan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.11
Thailand,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.36
Timor-Leste,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.01
Togo,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.37
Tonga,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.68
Trinidad and Tobago,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.88
Tunisia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.99
Turkey,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.12
Turkmenistan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.3
Tuvalu,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.98
Uganda,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,15.14
Ukraine,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.16
United Arab Emirates,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.79
United Kingdom of Great Britain and Northern Ireland,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.21
United Republic of Tanzania,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.05
United States of America,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.82
Uruguay,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.99
Uzbekistan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.59
Vanuatu,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.14
Venezuela (Bolivarian Republic of),2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.82
Viet Nam,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.86
Yemen,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.055
Zambia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.89
Zimbabwe,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.92
