,Location,Indicator,Period,Dim1,First Tooltip
1653,Iran (Islamic Republic of),Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,14.6
1680,Iraq,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,22.6
1707,Ireland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,24.6
1734,Israel,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,26.0
1761,Italy,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,23.6
1788,Jamaica,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,11.6
1815,Japan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,22.8
1842,Kazakhstan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,25.3
1869,Kenya,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,12.4
1896,Kiribati,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,53.5
1923,Kuwait,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,22.4
1950,Kyrgyzstan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,28.2
1977,Lao People's Democratic Republic,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,39.9
2004,Latvia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,37.1
2031,Lebanon,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,42.6
2058,Lesotho,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,28.7
2085,Liberia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,8.8
2112,Lithuania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,28.0
2139,Luxembourg,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,22.5
2166,Madagascar,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,30.0
2193,Malawi,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,13.8
2220,Malaysia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,22.5
2247,Mali,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,12.1
2274,Malta,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,25.9
2301,Mauritius,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,27.6
2328,Mexico,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,14.8
2355,Mongolia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,28.4
2382,Morocco,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,15.5
2409,Mozambique,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,15.4
2436,Myanmar,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,46.8
2463,Namibia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,18.3
2490,Nauru,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,53.9
2517,Nepal,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,34.3
2544,Netherlands,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,24.3
2571,New Zealand,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,16.0
2598,Niger,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,8.4
2625,Nigeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,5.0
2652,Norway,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,20.2
2679,Oman,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,9.6
2706,Pakistan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,21.6
2733,Palau,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,24.7
2760,Panama,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,7.6
2787,Paraguay,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,14.0
2814,Peru,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,11.0
2841,Philippines,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,25.1
2868,Poland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,27.4
2895,Portugal,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,27.5
2922,Qatar,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,14.1
2949,Republic of Korea,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,23.3
2976,Republic of Moldova,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,25.1
3003,Romania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,26.8
3030,Russian Federation,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,28.7
3057,Rwanda,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,13.9
3084,Samoa,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,29.9
3111,Sao Tome and Principe,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,5.5
3138,Saudi Arabia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,16.6
3165,Senegal,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,9.5
3192,Serbia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,41.2
3219,Seychelles,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,21.5
3246,Sierra Leone,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,21.1
3273,Singapore,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,16.6
3300,Slovakia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,32.1
3327,Slovenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,23.0
3354,Solomon Islands,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,38.1
3381,South Africa,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,32.0
3408,Spain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,28.8
3435,Sri Lanka,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,23.3
3462,Sweden,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,30.8
3489,Switzerland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,25.4
3516,Thailand,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,23.6
3543,Timor-Leste,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,39.9
3570,Togo,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,7.9
3597,Tonga,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,30.4
3624,Tunisia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,27.1
3651,Turkey,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,29.8
3678,Tuvalu,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,50.0
3705,Uganda,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,10.9
3732,Ukraine,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,26.6
3759,United Arab Emirates,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,18.5
3786,United Kingdom of Great Britain and Northern Ireland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,20.6
3813,United Republic of Tanzania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,14.1
3840,United States of America,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,25.7
3867,Uruguay,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,23.2
3894,Uzbekistan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,12.6
3921,Vanuatu,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,24.8
3948,Yemen,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,21.7
3975,Zambia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,15.2
4002,Zimbabwe,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,14.3
