,Location,Period,Indicator,Dim1,First Tooltip
3524,Hungary,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.73 [2.58-2.89]
3584,Iceland,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.13 [0.93-1.39]
3650,India,2015,Neonatal mortality rate (per 1000 live births),Both sexes,25.87 [24.14-27.68]
3701,Indonesia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,14.53 [12.79-16.52]
3768,Iran (Islamic Republic of),2015,Neonatal mortality rate (per 1000 live births),Both sexes,9.96 [6.48-15.1]
3799,Iraq,2015,Neonatal mortality rate (per 1000 live births),Both sexes,17.44 [14.43-21.12]
3836,Ireland,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.4 [2.26-2.55]
3896,Israel,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.09 [1.99-2.19]
3941,Italy,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.13 [2.06-2.2]
4001,Jamaica,2015,Neonatal mortality rate (per 1000 live births),Both sexes,11.22 [6.97-18.04]
4069,Japan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,0.92 [0.88-0.96]
4121,Jordan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,10.36 [8.26-13.13]
4188,Kazakhstan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,5.55 [5.18-5.92]
4236,Kenya,2015,Neonatal mortality rate (per 1000 live births),Both sexes,22.71 [18.3-28.25]
4302,Kiribati,2015,Neonatal mortality rate (per 1000 live births),Both sexes,23.83 [13.04-38.91]
4333,Kuwait,2015,Neonatal mortality rate (per 1000 live births),Both sexes,4.91 [4.64-5.21]
4368,Kyrgyzstan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,14.69 [13.11-16.26]
4409,Lao People's Democratic Republic,2015,Neonatal mortality rate (per 1000 live births),Both sexes,24.44 [19.39-30.02]
4447,Latvia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.59 [2.32-2.88]
4487,Lebanon,2015,Neonatal mortality rate (per 1000 live births),Both sexes,4.81 [2.29-8.94]
4534,Lesotho,2015,Neonatal mortality rate (per 1000 live births),Both sexes,43.39 [33.7-55.83]
4600,Liberia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,33.03 [27.72-39.37]
4657,Libya,2015,Neonatal mortality rate (per 1000 live births),Both sexes,7.49 [4.89-11.2]
4705,Lithuania,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.33 [2.07-2.6]
4744,Luxembourg,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.53 [1.27-1.84]
4799,Madagascar,2015,Neonatal mortality rate (per 1000 live births),Both sexes,21.81 [18.24-25.95]
4850,Malawi,2015,Neonatal mortality rate (per 1000 live births),Both sexes,22.82 [18.16-28.4]
4901,Malaysia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,4.2 [3.85-4.55]
4970,Maldives,2015,Neonatal mortality rate (per 1000 live births),Both sexes,5.87 [5.23-6.56]
5001,Mali,2015,Neonatal mortality rate (per 1000 live births),Both sexes,34.76 [29.29-41.01]
5057,Malta,2015,Neonatal mortality rate (per 1000 live births),Both sexes,4.7 [4.12-5.36]
5107,Marshall Islands,2015,Neonatal mortality rate (per 1000 live births),Both sexes,16.61 [10.55-25.23]
5138,Mauritania,2015,Neonatal mortality rate (per 1000 live births),Both sexes,34.83 [18.91-63.04]
5200,Mauritius,2015,Neonatal mortality rate (per 1000 live births),Both sexes,9.06 [8.35-9.82]
5251,Mexico,2015,Neonatal mortality rate (per 1000 live births),Both sexes,8.3 [7.75-8.91]
5318,Micronesia (Federated States of),2015,Neonatal mortality rate (per 1000 live births),Both sexes,17.3 [6.89-42.08]
5349,Monaco,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.95 [1.17-2.82]
5380,Mongolia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,9.6 [9.03-10.19]
5414,Montenegro,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.1 [1.78-2.43]
5445,Morocco,2015,Neonatal mortality rate (per 1000 live births),Both sexes,16.13 [13.08-19.75]
5508,Mozambique,2015,Neonatal mortality rate (per 1000 live births),Both sexes,30.89 [24.19-40.02]
5548,Myanmar,2015,Neonatal mortality rate (per 1000 live births),Both sexes,24.76 [18.53-32.16]
5579,Namibia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,20.25 [13.14-32.59]
5630,Nauru,2015,Neonatal mortality rate (per 1000 live births),Both sexes,22.02 [12.56-37.15]
5661,Nepal,2015,Neonatal mortality rate (per 1000 live births),Both sexes,22.43 [18.86-26.52]
5728,Netherlands,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.63 [2.53-2.73]
5788,New Zealand,2015,Neonatal mortality rate (per 1000 live births),Both sexes,3.13 [2.93-3.34]
5840,Nicaragua,2015,Neonatal mortality rate (per 1000 live births),Both sexes,11.94 [10.84-13.26]
5886,Niger,2015,Neonatal mortality rate (per 1000 live births),Both sexes,26.53 [18.58-37.03]
5937,Nigeria,2015,Neonatal mortality rate (per 1000 live births),Both sexes,37.14 [31.21-44.17]
5990,Niue,2015,Neonatal mortality rate (per 1000 live births),Both sexes,14.18 [5.85-34.34]
6021,Norway,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.59 [1.49-1.71]
6081,Oman,2015,Neonatal mortality rate (per 1000 live births),Both sexes,5.18 [3.69-6.64]
6130,Pakistan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,45.22 [40.69-50.19]
6198,Palau,2015,Neonatal mortality rate (per 1000 live births),Both sexes,10.65 [5.35-20.39]
6229,Panama,2015,Neonatal mortality rate (per 1000 live births),Both sexes,9.8 [5.26-17.03]
6295,Papua New Guinea,2015,Neonatal mortality rate (per 1000 live births),Both sexes,23.71 [18.34-30.39]
6341,Paraguay,2015,Neonatal mortality rate (per 1000 live births),Both sexes,12.41 [6.99-22.57]
6394,Peru,2015,Neonatal mortality rate (per 1000 live births),Both sexes,7.57 [6.55-8.77]
6460,Philippines,2015,Neonatal mortality rate (per 1000 live births),Both sexes,14.42 [11.97-17.27]
6525,Poland,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.9 [2.81-3]
6576,Portugal,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.1 [1.97-2.24]
6636,Qatar,2015,Neonatal mortality rate (per 1000 live births),Both sexes,3.97 [3.6-4.31]
6667,Republic of Korea,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.63 [1.49-1.76]
6736,Republic of Moldova,2015,Neonatal mortality rate (per 1000 live births),Both sexes,11.61 [9.18-14.77]
6774,The former Yugoslav Republic of Macedonia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,9.59 [8.59-10.79]
6812,Romania,2015,Neonatal mortality rate (per 1000 live births),Both sexes,4.29 [3.57-5]
6843,Russian Federation,2015,Neonatal mortality rate (per 1000 live births),Both sexes,3.87 [3.29-4.44]
6874,Rwanda,2015,Neonatal mortality rate (per 1000 live births),Both sexes,17.86 [11.94-26.69]
6934,Saint Kitts and Nevis,2015,Neonatal mortality rate (per 1000 live births),Both sexes,11.3 [8.92-14.17]
6977,Saint Lucia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,12.61 [11.22-14.15]
7025,Saint Vincent and the Grenadines,2015,Neonatal mortality rate (per 1000 live births),Both sexes,10.58 [9.1-12.2]
7075,Samoa,2015,Neonatal mortality rate (per 1000 live births),Both sexes,9.28 [5.56-13.62]
7106,San Marino,2015,Neonatal mortality rate (per 1000 live births),Both sexes,0.93 [0.37-1.83]
7137,Sao Tome and Principe,2015,Neonatal mortality rate (per 1000 live births),Both sexes,15.69 [9.96-24.73]
7172,Saudi Arabia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,4.69 [2.89-6.71]
7203,Senegal,2015,Neonatal mortality rate (per 1000 live births),Both sexes,23.96 [20.78-27.57]
7268,Serbia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,3.95 [3.69-4.23]
7299,Seychelles,2015,Neonatal mortality rate (per 1000 live births),Both sexes,8.98 [7.38-10.79]
7333,Sierra Leone,2015,Neonatal mortality rate (per 1000 live births),Both sexes,34.28 [28.92-40.18]
7364,Singapore,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1 [0.89-1.11]
7416,Slovakia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,3.06 [2.87-3.23]
7454,Slovenia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.37 [1.23-1.52]
7492,Solomon Islands,2015,Neonatal mortality rate (per 1000 live births),Both sexes,9.35 [6.49-13.03]
7523,Somalia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,39.56 [20.14-78.17]
7560,South Africa,2015,Neonatal mortality rate (per 1000 live births),Both sexes,11.04 [9.52-12.61]
7605,South Sudan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,38.91 [18.26-72.94]
7639,Spain,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.93 [1.85-2.02]
7684,Sri Lanka,2015,Neonatal mortality rate (per 1000 live births),Both sexes,5.25 [4.9-5.61]
7752,Sudan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,29.4 [23.59-36.9]
7803,Suriname,2015,Neonatal mortality rate (per 1000 live births),Both sexes,12.72 [9.02-17.99]
7834,Sweden,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.59 [1.5-1.69]
7894,Switzerland,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.99 [2.85-3.13]
7959,Syrian Arab Republic,2015,Neonatal mortality rate (per 1000 live births),Both sexes,10.48 [7.12-13.15]
8024,Tajikistan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,16.21 [12.13-21.16]
8055,Thailand,2015,Neonatal mortality rate (per 1000 live births),Both sexes,6.34 [4.37-8.34]
8123,Timor-Leste,2015,Neonatal mortality rate (per 1000 live births),Both sexes,21.43 [12.82-34.02]
8157,Togo,2015,Neonatal mortality rate (per 1000 live births),Both sexes,26.66 [22.2-31.81]
8212,Tonga,2015,Neonatal mortality rate (per 1000 live births),Both sexes,7.5 [5.55-9.84]
8243,Trinidad and Tobago,2015,Neonatal mortality rate (per 1000 live births),Both sexes,13.08 [6.18-29.21]
8309,Tunisia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,12.06 [11.5-12.62]
8364,Turkey,2015,Neonatal mortality rate (per 1000 live births),Both sexes,6.34 [5.77-6.95]
8429,Turkmenistan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,23.06 [18.07-29.16]
8461,Tuvalu,2015,Neonatal mortality rate (per 1000 live births),Both sexes,18.33 [10.83-31.07]
8492,Uganda,2015,Neonatal mortality rate (per 1000 live births),Both sexes,22.31 [18.61-26.82]
8547,Ukraine,2015,Neonatal mortality rate (per 1000 live births),Both sexes,5.67 [4.2-6.87]
8583,United Arab Emirates,2015,Neonatal mortality rate (per 1000 live births),Both sexes,4.2 [3.81-4.65]
8625,United Kingdom of Great Britain and Northern Ireland,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.73 [2.65-2.8]
8685,United Republic of Tanzania,2015,Neonatal mortality rate (per 1000 live births),Both sexes,22.1 [18.25-26.99]
8737,United States of America,2015,Neonatal mortality rate (per 1000 live births),Both sexes,3.9 [3.79-4]
8789,Uruguay,2015,Neonatal mortality rate (per 1000 live births),Both sexes,5 [4.65-5.36]
8839,Uzbekistan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,12.98 [9.39-16.65]
8870,Vanuatu,2015,Neonatal mortality rate (per 1000 live births),Both sexes,12.67 [7.46-20.11]
8901,Venezuela (Bolivarian Republic of),2015,Neonatal mortality rate (per 1000 live births),Both sexes,14.45 [13.64-15.31]
8932,Viet Nam,2015,Neonatal mortality rate (per 1000 live births),Both sexes,11.37 [9.16-13.76]
8975,Yemen,2015,Neonatal mortality rate (per 1000 live births),Both sexes,26.65 [19.45-36.23]
9033,Zambia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,24.53 [21.29-28.42]
9084,Zimbabwe,2015,Neonatal mortality rate (per 1000 live births),Both sexes,27.89 [23.72-32.63]
