Location,Period,Indicator,First Tooltip
Germany,2016,"Medical doctors (per 10,000)",41.94
Ghana,2016,"Medical doctors (per 10,000)",1.27
Greece,2016,"Medical doctors (per 10,000)",54.04
Guinea,2016,"Medical doctors (per 10,000)",0.83
Guinea-Bissau,2016,"Medical doctors (per 10,000)",1.27
Honduras,2016,"Medical doctors (per 10,000)",5.98
Hungary,2016,"Medical doctors (per 10,000)",32.31
Iceland,2016,"Medical doctors (per 10,000)",38.89
India,2016,"Medical doctors (per 10,000)",7.59
Iraq,2016,"Medical doctors (per 10,000)",8.54
Ireland,2016,"Medical doctors (per 10,000)",32.32
Israel,2016,"Medical doctors (per 10,000)",34.63
Italy,2016,"Medical doctors (per 10,000)",39.5
Jamaica,2016,"Medical doctors (per 10,000)",4.55
Japan,2016,"Medical doctors (per 10,000)",24.12
Jordan,2016,"Medical doctors (per 10,000)",13.95
Latvia,2016,"Medical doctors (per 10,000)",31.89
Lebanon,2016,"Medical doctors (per 10,000)",20.12
Lithuania,2016,"Medical doctors (per 10,000)",47.35
Luxembourg,2016,"Medical doctors (per 10,000)",29.05
Malawi,2016,"Medical doctors (per 10,000)",0.17
Mali,2016,"Medical doctors (per 10,000)",1.4
Mauritius,2016,"Medical doctors (per 10,000)",21.94
Mexico,2016,"Medical doctors (per 10,000)",23.24
Mongolia,2016,"Medical doctors (per 10,000)",28.59
Mozambique,2016,"Medical doctors (per 10,000)",0.5
Myanmar,2016,"Medical doctors (per 10,000)",6.2
Netherlands,2016,"Medical doctors (per 10,000)",35.47
New Zealand,2016,"Medical doctors (per 10,000)",33.83
Nicaragua,2016,"Medical doctors (per 10,000)",9.54
Niger,2016,"Medical doctors (per 10,000)",0.43
Nigeria,2016,"Medical doctors (per 10,000)",4.49
Norway,2016,"Medical doctors (per 10,000)",26.98
Oman,2016,"Medical doctors (per 10,000)",19.25
Pakistan,2016,"Medical doctors (per 10,000)",9.62
Panama,2016,"Medical doctors (per 10,000)",15.69
Peru,2016,"Medical doctors (per 10,000)",13.05
Poland,2016,"Medical doctors (per 10,000)",24.15
Portugal,2016,"Medical doctors (per 10,000)",49.4
Qatar,2016,"Medical doctors (per 10,000)",26.94
Republic of Korea,2016,"Medical doctors (per 10,000)",23.04
Romania,2016,"Medical doctors (per 10,000)",22.57
Rwanda,2016,"Medical doctors (per 10,000)",1.23
Samoa,2016,"Medical doctors (per 10,000)",3.45
Saudi Arabia,2016,"Medical doctors (per 10,000)",23.78
Senegal,2016,"Medical doctors (per 10,000)",0.71
Serbia,2016,"Medical doctors (per 10,000)",31.13
Seychelles,2016,"Medical doctors (per 10,000)",21.21
Singapore,2016,"Medical doctors (per 10,000)",22.94
Slovakia,2016,"Medical doctors (per 10,000)",34.66
Slovenia,2016,"Medical doctors (per 10,000)",30.01
Solomon Islands,2016,"Medical doctors (per 10,000)",1.94
South Africa,2016,"Medical doctors (per 10,000)",8.0
Spain,2016,"Medical doctors (per 10,000)",38.11
Sri Lanka,2016,"Medical doctors (per 10,000)",8.93
Suriname,2016,"Medical doctors (per 10,000)",11.31
Sweden,2016,"Medical doctors (per 10,000)",39.84
Switzerland,2016,"Medical doctors (per 10,000)",42.47
Syrian Arab Republic,2016,"Medical doctors (per 10,000)",12.87
Thailand,2016,"Medical doctors (per 10,000)",4.45
Togo,2016,"Medical doctors (per 10,000)",0.13
Tunisia,2016,"Medical doctors (per 10,000)",12.83
Turkey,2016,"Medical doctors (per 10,000)",18.14
United Arab Emirates,2016,"Medical doctors (per 10,000)",23.71
United Kingdom of Great Britain and Northern Ireland,2016,"Medical doctors (per 10,000)",27.56
United Republic of Tanzania,2016,"Medical doctors (per 10,000)",0.14
United States of America,2016,"Medical doctors (per 10,000)",25.88
Uruguay,2016,"Medical doctors (per 10,000)",39.56
Vanuatu,2016,"Medical doctors (per 10,000)",1.65
Viet Nam,2016,"Medical doctors (per 10,000)",8.28
Zambia,2016,"Medical doctors (per 10,000)",1.63
Zimbabwe,2016,"Medical doctors (per 10,000)",1.79
