Location,Indicator,Period,Dim1,First Tooltip
Togo,Population using at least basic sanitation services (%),2015,Total,15.3
Tonga,Population using at least basic sanitation services (%),2015,Total,93.45
Trinidad and Tobago,Population using at least basic sanitation services (%),2015,Total,93.4
Tunisia,Population using at least basic sanitation services (%),2015,Total,90.3
Turkey,Population using at least basic sanitation services (%),2015,Total,97.19
Turkmenistan,Population using at least basic sanitation services (%),2015,Total,97.85
Tuvalu,Population using at least basic sanitation services (%),2015,Total,84.14
Uganda,Population using at least basic sanitation services (%),2015,Total,18.42
Ukraine,Population using at least basic sanitation services (%),2015,Total,96.22
United Arab Emirates,Population using at least basic sanitation services (%),2015,Total,98.58
United Kingdom of Great Britain and Northern Ireland,Population using at least basic sanitation services (%),2015,Total,99.11
United Republic of Tanzania,Population using at least basic sanitation services (%),2015,Total,26.87
United States of America,Population using at least basic sanitation services (%),2015,Total,99.97
Uruguay,Population using at least basic sanitation services (%),2015,Total,96.2
Uzbekistan,Population using at least basic sanitation services (%),2015,Total,100.0
Vanuatu,Population using at least basic sanitation services (%),2015,Total,38.13
Venezuela (Bolivarian Republic of),Population using at least basic sanitation services (%),2015,Total,93.94
Viet Nam,Population using at least basic sanitation services (%),2015,Total,80.08
Yemen,Population using at least basic sanitation services (%),2015,Total,58.5
Zambia,Population using at least basic sanitation services (%),2015,Total,25.98
Zimbabwe,Population using at least basic sanitation services (%),2015,Total,37.57
