,Location,Period,Indicator,First Tooltip
793,Cyprus,2015,Population using at least basic drinking-water services (%),99.55
811,Czechia,2015,Population using at least basic drinking-water services (%),99.82
829,Democratic People's Republic of Korea,2015,Population using at least basic drinking-water services (%),91.62
847,Democratic Republic of the Congo,2015,Population using at least basic drinking-water services (%),22.34
865,Denmark,2015,Population using at least basic drinking-water services (%),100.0
883,Djibouti,2015,Population using at least basic drinking-water services (%),47.96
899,Dominica,2015,Population using at least basic drinking-water services (%),96.5
917,Dominican Republic,2015,Population using at least basic drinking-water services (%),89.36
935,Ecuador,2015,Population using at least basic drinking-water services (%),81.88
953,Egypt,2015,Population using at least basic drinking-water services (%),98.57
971,El Salvador,2015,Population using at least basic drinking-water services (%),89.25
989,Equatorial Guinea,2015,Population using at least basic drinking-water services (%),30.78
1006,Eritrea,2015,Population using at least basic drinking-water services (%),27.8
1024,Estonia,2015,Population using at least basic drinking-water services (%),99.19
1042,Eswatini,2015,Population using at least basic drinking-water services (%),59.37
1060,Ethiopia,2015,Population using at least basic drinking-water services (%),29.11
1078,Fiji,2015,Population using at least basic drinking-water services (%),88.84
1096,Finland,2015,Population using at least basic drinking-water services (%),100.0
1114,France,2015,Population using at least basic drinking-water services (%),100.0
1132,Gabon,2015,Population using at least basic drinking-water services (%),55.05
1150,Gambia,2015,Population using at least basic drinking-water services (%),63.37
1168,Georgia,2015,Population using at least basic drinking-water services (%),95.26
1186,Germany,2015,Population using at least basic drinking-water services (%),100.0
1204,Ghana,2015,Population using at least basic drinking-water services (%),66.04
1222,Greece,2015,Population using at least basic drinking-water services (%),100.0
1240,Grenada,2015,Population using at least basic drinking-water services (%),95.63
1258,Guatemala,2015,Population using at least basic drinking-water services (%),88.97
1276,Guinea,2015,Population using at least basic drinking-water services (%),49.72
1294,Guinea-Bissau,2015,Population using at least basic drinking-water services (%),52.76
1312,Guyana,2015,Population using at least basic drinking-water services (%),100.0
1330,Haiti,2015,Population using at least basic drinking-water services (%),42.42
1348,Honduras,2015,Population using at least basic drinking-water services (%),87.31
1366,Hungary,2015,Population using at least basic drinking-water services (%),100.0
1384,Iceland,2015,Population using at least basic drinking-water services (%),100.0
1402,India,2015,Population using at least basic drinking-water services (%),88.9
1420,Indonesia,2015,Population using at least basic drinking-water services (%),80.16
1438,Iran (Islamic Republic of),2015,Population using at least basic drinking-water services (%),89.01
1456,Iraq,2015,Population using at least basic drinking-water services (%),86.56
1474,Ireland,2015,Population using at least basic drinking-water services (%),96.99
1492,Israel,2015,Population using at least basic drinking-water services (%),100.0
1510,Italy,2015,Population using at least basic drinking-water services (%),99.38
1528,Jamaica,2015,Population using at least basic drinking-water services (%),84.4
1546,Japan,2015,Population using at least basic drinking-water services (%),98.93
1564,Jordan,2015,Population using at least basic drinking-water services (%),97.78
1582,Kazakhstan,2015,Population using at least basic drinking-water services (%),89.76
1600,Kenya,2015,Population using at least basic drinking-water services (%),48.18
1618,Kiribati,2015,Population using at least basic drinking-water services (%),69.08
1636,Kuwait,2015,Population using at least basic drinking-water services (%),100.0
1654,Kyrgyzstan,2015,Population using at least basic drinking-water services (%),81.39
1672,Lao People's Democratic Republic,2015,Population using at least basic drinking-water services (%),71.11
1690,Latvia,2015,Population using at least basic drinking-water services (%),97.88
1708,Lebanon,2015,Population using at least basic drinking-water services (%),92.26
1726,Lesotho,2015,Population using at least basic drinking-water services (%),59.79
1744,Liberia,2015,Population using at least basic drinking-water services (%),60.81
1762,Libya,2015,Population using at least basic drinking-water services (%),97.64
1780,Lithuania,2015,Population using at least basic drinking-water services (%),90.72
1798,Luxembourg,2015,Population using at least basic drinking-water services (%),100.0
1816,Madagascar,2015,Population using at least basic drinking-water services (%),34.78
1834,Malawi,2015,Population using at least basic drinking-water services (%),63.31
1852,Malaysia,2015,Population using at least basic drinking-water services (%),89.93
1870,Maldives,2015,Population using at least basic drinking-water services (%),98.25
1888,Mali,2015,Population using at least basic drinking-water services (%),64.59
1906,Malta,2015,Population using at least basic drinking-water services (%),100.0
1924,Marshall Islands,2015,Population using at least basic drinking-water services (%),83.36
1941,Mauritania,2015,Population using at least basic drinking-water services (%),46.69
1959,Mauritius,2015,Population using at least basic drinking-water services (%),99.83
1977,Mexico,2015,Population using at least basic drinking-water services (%),94.26
1995,Micronesia (Federated States of),2015,Population using at least basic drinking-water services (%),78.57
2013,Monaco,2015,Population using at least basic drinking-water services (%),100.0
2031,Mongolia,2015,Population using at least basic drinking-water services (%),52.86
2049,Montenegro,2015,Population using at least basic drinking-water services (%),95.91
2061,Morocco,2015,Population using at least basic drinking-water services (%),67.69
2079,Mozambique,2015,Population using at least basic drinking-water services (%),35.54
2097,Myanmar,2015,Population using at least basic drinking-water services (%),74.82
2115,Namibia,2015,Population using at least basic drinking-water services (%),68.89
2133,Nauru,2015,Population using at least basic drinking-water services (%),99.48
2151,Nepal,2015,Population using at least basic drinking-water services (%),87.48
2169,Netherlands,2015,Population using at least basic drinking-water services (%),100.0
2187,New Zealand,2015,Population using at least basic drinking-water services (%),100.0
2205,Nicaragua,2015,Population using at least basic drinking-water services (%),59.5
2223,Niger,2015,Population using at least basic drinking-water services (%),41.6
2241,Nigeria,2015,Population using at least basic drinking-water services (%),53.11
2259,Niue,2015,Population using at least basic drinking-water services (%),98.2
2277,Norway,2015,Population using at least basic drinking-water services (%),100.0
2295,Oman,2015,Population using at least basic drinking-water services (%),77.9
2312,Pakistan,2015,Population using at least basic drinking-water services (%),88.84
2330,Palau,2015,Population using at least basic drinking-water services (%),100.0
2348,Panama,2015,Population using at least basic drinking-water services (%),90.52
2366,Papua New Guinea,2015,Population using at least basic drinking-water services (%),33.38
2384,Paraguay,2015,Population using at least basic drinking-water services (%),94.27
2402,Peru,2015,Population using at least basic drinking-water services (%),72.73
2420,Philippines,2015,Population using at least basic drinking-water services (%),88.68
2438,Poland,2015,Population using at least basic drinking-water services (%),98.15
2451,Portugal,2015,Population using at least basic drinking-water services (%),100.0
2469,Qatar,2015,Population using at least basic drinking-water services (%),99.69
2487,Republic of Korea,2015,Population using at least basic drinking-water services (%),99.56
2503,Republic of Moldova,2015,Population using at least basic drinking-water services (%),82.08
2521,The former Yugoslav Republic of Macedonia,2015,Population using at least basic drinking-water services (%),90.58
2539,Romania,2015,Population using at least basic drinking-water services (%),100.0
2557,Russian Federation,2015,Population using at least basic drinking-water services (%),91.65
2575,Rwanda,2015,Population using at least basic drinking-water services (%),51.22
2607,Saint Lucia,2015,Population using at least basic drinking-water services (%),97.82
2625,Saint Vincent and the Grenadines,2015,Population using at least basic drinking-water services (%),95.15
2643,Samoa,2015,Population using at least basic drinking-water services (%),96.25
2661,San Marino,2015,Population using at least basic drinking-water services (%),100.0
2679,Sao Tome and Principe,2015,Population using at least basic drinking-water services (%),75.72
2697,Saudi Arabia,2015,Population using at least basic drinking-water services (%),99.69
2715,Senegal,2015,Population using at least basic drinking-water services (%),66.61
2733,Serbia,2015,Population using at least basic drinking-water services (%),84.09
2751,Seychelles,2015,Population using at least basic drinking-water services (%),96.25
2769,Sierra Leone,2015,Population using at least basic drinking-water services (%),46.9
2787,Singapore,2015,Population using at least basic drinking-water services (%),100.0
2805,Slovakia,2015,Population using at least basic drinking-water services (%),100.0
2823,Slovenia,2015,Population using at least basic drinking-water services (%),99.4
2841,Solomon Islands,2015,Population using at least basic drinking-water services (%),63.01
2859,Somalia,2015,Population using at least basic drinking-water services (%),26.53
2877,South Africa,2015,Population using at least basic drinking-water services (%),78.97
2895,South Sudan,2015,Population using at least basic drinking-water services (%),36.4
2902,Spain,2015,Population using at least basic drinking-water services (%),100.0
2920,Sri Lanka,2015,Population using at least basic drinking-water services (%),86.36
2938,Sudan,2015,Population using at least basic drinking-water services (%),51.71
2956,Suriname,2015,Population using at least basic drinking-water services (%),87.35
2974,Sweden,2015,Population using at least basic drinking-water services (%),100.0
2992,Switzerland,2015,Population using at least basic drinking-water services (%),100.0
3010,Syrian Arab Republic,2015,Population using at least basic drinking-water services (%),94.57
3028,Tajikistan,2015,Population using at least basic drinking-water services (%),71.69
3046,Thailand,2015,Population using at least basic drinking-water services (%),99.02
3064,Timor-Leste,2015,Population using at least basic drinking-water services (%),65.32
3080,Togo,2015,Population using at least basic drinking-water services (%),46.19
3098,Tonga,2015,Population using at least basic drinking-water services (%),99.77
3116,Trinidad and Tobago,2015,Population using at least basic drinking-water services (%),98.18
3134,Tunisia,2015,Population using at least basic drinking-water services (%),87.26
3152,Turkey,2015,Population using at least basic drinking-water services (%),98.63
3170,Turkmenistan,2015,Population using at least basic drinking-water services (%),97.01
3188,Tuvalu,2015,Population using at least basic drinking-water services (%),98.78
3205,Uganda,2015,Population using at least basic drinking-water services (%),38.23
3223,Ukraine,2015,Population using at least basic drinking-water services (%),91.33
3241,United Arab Emirates,2015,Population using at least basic drinking-water services (%),96.77
3259,United Kingdom of Great Britain and Northern Ireland,2015,Population using at least basic drinking-water services (%),100.0
3277,United Republic of Tanzania,2015,Population using at least basic drinking-water services (%),39.14
3295,United States of America,2015,Population using at least basic drinking-water services (%),96.97
3313,Uruguay,2015,Population using at least basic drinking-water services (%),92.64
3331,Uzbekistan,2015,Population using at least basic drinking-water services (%),95.64
3349,Vanuatu,2015,Population using at least basic drinking-water services (%),86.98
3367,Venezuela (Bolivarian Republic of),2015,Population using at least basic drinking-water services (%),95.83
3385,Viet Nam,2015,Population using at least basic drinking-water services (%),90.73
3403,Yemen,2015,Population using at least basic drinking-water services (%),54.7
3421,Zambia,2015,Population using at least basic drinking-water services (%),40.59
3439,Zimbabwe,2015,Population using at least basic drinking-water services (%),51.03
