,Location,Period,Indicator,Dim1,First Tooltip
3381,Bolivia (Plurinational State of),2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,23.92 [19.66-28.81]
3561,Bosnia and Herzegovina,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,5.34 [4.93-5.78]
3669,Botswana,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,33.05 [14.69-55.52]
3864,Brazil,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,14.62 [13.57-15.71]
4059,Brunei Darussalam,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,8.98 [8.36-9.66]
4269,Bulgaria,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,6.45 [6.21-6.7]
4479,Burkina Faso,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,58.01 [49.59-68.3]
4689,Burundi,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,44.19 [34.48-56.93]
4857,Cabo Verde,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,15.53 [14.11-17.08]
5067,Cambodia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,25.85 [15.85-41.24]
5202,Cameroon,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,55.42 [49.85-61.69]
5400,Canada,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,4.53 [4.43-4.63]
5610,Central African Republic,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,87.41 [61.49-121]
5790,Chad,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,74.37 [64.44-85.45]
5934,Chile,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,6.55 [6.1-7.04]
6117,China,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,8.5 [7.94-9.11]
6270,Colombia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,13.03 [10.02-16.7]
6474,Comoros,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,52.57 [29.98-96.32]
6624,Congo,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,37.6 [26.94-52.66]
6810,Cook Islands,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,7.2 [4.71-11.24]
7017,Costa Rica,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,7.53 [7.32-7.75]
7227,Croatia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,4.16 [3.95-4.38]
7344,Cuba,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,4.1 [3.66-4.6]
7530,Cyprus,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.11 [1.79-2.51]
7677,Czechia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.54 [2.44-2.64]
7794,Democratic People's Republic of Korea,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,15.1 [11.83-19.34]
7899,Democratic Republic of the Congo,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,71.8 [54.12-91.27]
8052,Denmark,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.47 [3.31-3.64]
8262,Djibouti,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,52.72 [35.74-75.01]
8394,Dominica,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,28.43 [25.24-32.17]
8574,Dominican Republic,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,25.39 [19.65-32.78]
8784,Ecuador,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,12.7 [12.29-13.13]
8979,Egypt,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,19.2 [15.07-24.55]
9174,El Salvador,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,12.68 [8.87-18.01]
9369,Equatorial Guinea,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,66.13 [46.01-93.9]
9483,Eritrea,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,33.08 [23.75-45.4]
9621,Estonia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.29 [2.09-2.52]
9741,Eswatini,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,44.05 [33.34-57.28]
9951,Ethiopia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,41.24 [36.94-46.05]
10113,Fiji,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,20.92 [19.77-22.15]
10323,Finland,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,1.99 [1.89-2.11]
10533,France,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.51 [3.44-3.59]
10743,Gabon,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,34.31 [24.9-45.84]
10869,Gambia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,38.79 [35.04-42.64]
11061,Georgia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,9.1 [8.48-9.78]
11196,Germany,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.29 [3.23-3.35]
11352,Ghana,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,37.41 [33.46-41.63]
11562,Greece,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.86 [3.7-4.04]
11772,Grenada,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,14.47 [12.71-16.41]
11982,Guatemala,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,22.87 [19.52-26.78]
12171,Guinea,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,67.45 [59.95-76.16]
12381,Guinea-Bissau,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,57.28 [41.94-76.83]
12486,Guyana,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,26.66 [18.6-37.77]
12696,Haiti,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,51.91 [44.26-62.23]
12888,Honduras,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,15.95 [11.79-21.21]
13080,Hungary,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.96 [3.79-4.13]
13290,Iceland,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,1.71 [1.42-2.07]
13500,India,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,33.11 [31.22-35.04]
13701,Indonesia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,22.48 [20.01-25.35]
13908,Iran (Islamic Republic of),2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,13.32 [9.15-19.21]
14055,Iraq,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,23.9 [19.89-28.56]
14265,Ireland,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.1 [2.93-3.29]
14475,Israel,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.1 [3.01-3.2]
14679,Italy,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.88 [2.82-2.95]
14889,Jamaica,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,13.07 [8.3-20.68]
15093,Japan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,1.95 [1.91-1.99]
15303,Jordan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,14.69 [11.86-18.2]
15513,Kazakhstan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,9.77 [9.54-10.01]
15660,Kenya,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,34.45 [29.25-41.09]
15864,Kiribati,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,43.46 [29.29-62.88]
16035,Kuwait,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,7.27 [7-7.55]
16218,Kyrgyzstan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,18.92 [18.35-19.49]
16353,Lao People's Democratic Republic,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,40.4 [33.17-48.29]
16479,Latvia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.86 [3.52-4.2]
16602,Lebanon,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,6.82 [3.68-12.21]
16794,Lesotho,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,72.31 [56.97-91.34]
16998,Liberia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,65.16 [56.67-75.13]
17190,Libya,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,10.98 [7.64-15.76]
17373,Lithuania,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.86 [3.6-4.16]
17532,Luxembourg,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.35 [1.97-2.8]
17742,Madagascar,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,39.57 [34.47-45.43]
17898,Malawi,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,35.28 [28.29-42.68]
18063,Malaysia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,6.97 [6.84-7.11]
18273,Maldives,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,8.12 [7.54-8.75]
18438,Mali,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,65.2 [58.32-72.67]
18609,Malta,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,6.15 [5.32-7.09]
18819,Marshall Islands,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,28.6 [20.21-39.63]
19002,Mauritania,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,53.84 [35.02-82.4]
19212,Mauritius,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,12.81 [11.97-13.72]
19422,Mexico,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,13.48 [12.72-14.35]
19629,Micronesia (Federated States of),2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,26.92 [12.21-55.42]
19746,Monaco,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.78 [2.14-3.64]
19851,Mongolia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,16.09 [15.77-16.42]
19977,Montenegro,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.76 [2.41-3.15]
20085,Morocco,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,20.73 [16.73-25.66]
20277,Mozambique,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,59.84 [48.21-75.97]
20445,Myanmar,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,39.44 [30.8-48.48]
20601,Namibia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,32.56 [22.31-48.4]
20760,Nauru,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,27.96 [17.41-43.08]
20865,Nepal,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,28.51 [24.13-33.61]
21069,Netherlands,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.43 [3.34-3.52]
21279,New Zealand,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,4.37 [4.1-4.65]
21489,Nicaragua,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,15.99 [14.68-17.76]
21684,Niger,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,50.46 [40.1-63.21]
21843,Nigeria,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,78.52 [67.72-91.77]
22011,Niue,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,21.63 [9.61-45.98]
22116,Norway,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.15 [2.03-2.26]
22326,Oman,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,9.68 [9.33-10.03]
22500,Pakistan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,60.48 [55.28-66.24]
22707,Palau,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,17.36 [9.69-30.98]
22812,Panama,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,14.12 [8.4-22.94]
23019,Papua New Guinea,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,38.83 [31.16-48.08]
23214,Paraguay,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,18.32 [10.52-31.62]
23406,Peru,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,11.62 [10.1-13.45]
23610,Philippines,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,23.13 [19.29-27.28]
23811,Poland,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,4.04 [3.95-4.12]
24021,Portugal,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.98 [2.86-3.11]
24231,Qatar,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,6.41 [6.03-6.81]
24384,Republic of Korea,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.92 [2.86-2.98]
24591,Republic of Moldova,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,13.15 [10.56-16.46]
24738,The former Yugoslav Republic of Macedonia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,10.49 [9.68-11.38]
24855,Romania,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,7.11 [6.94-7.29]
25050,Russian Federation,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,6.45 [6.33-6.58]
25200,Rwanda,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,29.56 [20.09-42.03]
25389,Saint Kitts and Nevis,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,13.87 [10.92-17.6]
25533,Saint Lucia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,18.97 [17.21-21.05]
25743,Saint Vincent and the Grenadines,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,14.74 [12.65-17.1]
25950,Samoa,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,14.12 [10.71-18.34]
26160,San Marino,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,1.69 [0.95-3.06]
26265,Sao Tome and Principe,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,25.83 [17.85-35.99]
26430,Saudi Arabia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,6.73 [5.51-8.52]
26574,Senegal,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,35.36 [31.7-39.34]
26784,Serbia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,5.23 [4.98-5.48]
26892,Seychelles,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,12.74 [10.59-15.25]
27102,Sierra Leone,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,88.57 [79.98-97.39]
27285,Singapore,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.17 [2.02-2.33]
27495,Slovakia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,4.98 [4.83-5.15]
27612,Slovenia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,1.91 [1.76-2.1]
27729,Solomon Islands,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,18.44 [13.48-24.38]
27909,Somalia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,80.4 [49.05-139.8]
28023,South Africa,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,28.24 [26.59-30.03]
28161,South Sudan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,62.37 [34.84-100.9]
28320,Spain,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.71 [2.64-2.78]
28458,Sri Lanka,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,7.04 [6.5-7.61]
28665,Sudan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,44.18 [36.99-52.63]
28866,Suriname,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,17.55 [12.65-24.53]
28977,Sweden,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.29 [2.2-2.38]
29187,Switzerland,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.74 [3.58-3.92]
29397,Syrian Arab Republic,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,17.97 [11.75-21.82]
29598,Tajikistan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,32.1 [24.71-41.72]
29742,Thailand,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,8.85 [7.76-10.65]
29952,Timor-Leste,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,41.86 [28.15-60.63]
