Location,Indicator,Period,First Tooltip
Côte d’Ivoire,Incidence of tuberculosis (per 100 000 population per year),2016,153 [99-220]
Croatia,Incidence of tuberculosis (per 100 000 population per year),2016,12 [10-14]
Cuba,Incidence of tuberculosis (per 100 000 population per year),2016,6.9 [5.9-8]
Cyprus,Incidence of tuberculosis (per 100 000 population per year),2016,5.6 [4.8-6.5]
Czechia,Incidence of tuberculosis (per 100 000 population per year),2016,5.5 [4.7-6.4]
Democratic People's Republic of Korea,Incidence of tuberculosis (per 100 000 population per year),2016,513 [446-584]
Democratic Republic of the Congo,Incidence of tuberculosis (per 100 000 population per year),2016,323 [209-461]
Denmark,Incidence of tuberculosis (per 100 000 population per year),2016,5.9 [5-6.8]
Djibouti,Incidence of tuberculosis (per 100 000 population per year),2016,339 [260-429]
Dominica,Incidence of tuberculosis (per 100 000 population per year),2016,8.1 [6.9-9.3]
Dominican Republic,Incidence of tuberculosis (per 100 000 population per year),2016,51 [39-64]
Ecuador,Incidence of tuberculosis (per 100 000 population per year),2016,40 [31-51]
Egypt,Incidence of tuberculosis (per 100 000 population per year),2016,14 [12-15]
El Salvador,Incidence of tuberculosis (per 100 000 population per year),2016,60 [46-75]
Equatorial Guinea,Incidence of tuberculosis (per 100 000 population per year),2016,181 [159-205]
Eritrea,Incidence of tuberculosis (per 100 000 population per year),2016,108 [50-189]
Estonia,Incidence of tuberculosis (per 100 000 population per year),2016,16 [14-19]
Eswatini,Incidence of tuberculosis (per 100 000 population per year),2016,537 [338-781]
Ethiopia,Incidence of tuberculosis (per 100 000 population per year),2016,177 [125-239]
Fiji,Incidence of tuberculosis (per 100 000 population per year),2016,45 [34-57]
Finland,Incidence of tuberculosis (per 100 000 population per year),2016,4.7 [4-5.4]
France,Incidence of tuberculosis (per 100 000 population per year),2016,8.7 [7.7-9.9]
Gabon,Incidence of tuberculosis (per 100 000 population per year),2016,533 [345-761]
Gambia,Incidence of tuberculosis (per 100 000 population per year),2016,170 [126-219]
Georgia,Incidence of tuberculosis (per 100 000 population per year),2016,92 [77-109]
Germany,Incidence of tuberculosis (per 100 000 population per year),2016,7.3 [7-7.7]
Ghana,Incidence of tuberculosis (per 100 000 population per year),2016,156 [75-265]
Greece,Incidence of tuberculosis (per 100 000 population per year),2016,4.4 [3.8-5.1]
Grenada,Incidence of tuberculosis (per 100 000 population per year),2016,6.3 [5.4-7.2]
Guatemala,Incidence of tuberculosis (per 100 000 population per year),2016,24 [19-31]
Guinea,Incidence of tuberculosis (per 100 000 population per year),2016,176 [114-252]
Guinea-Bissau,Incidence of tuberculosis (per 100 000 population per year),2016,361 [234-516]
Guyana,Incidence of tuberculosis (per 100 000 population per year),2016,94 [72-118]
Haiti,Incidence of tuberculosis (per 100 000 population per year),2016,188 [144-237]
Honduras,Incidence of tuberculosis (per 100 000 population per year),2016,39 [30-49]
Hungary,Incidence of tuberculosis (per 100 000 population per year),2016,8.7 [7.4-10]
Iceland,Incidence of tuberculosis (per 100 000 population per year),2016,2.1 [1.8-2.4]
India,Incidence of tuberculosis (per 100 000 population per year),2016,211 [140-295]
Indonesia,Incidence of tuberculosis (per 100 000 population per year),2016,322 [294-352]
Iran (Islamic Republic of),Incidence of tuberculosis (per 100 000 population per year),2016,15 [11-18]
Iraq,Incidence of tuberculosis (per 100 000 population per year),2016,43 [37-48]
Ireland,Incidence of tuberculosis (per 100 000 population per year),2016,7.2 [6.1-8.3]
Israel,Incidence of tuberculosis (per 100 000 population per year),2016,3.5 [3-4.1]
Italy,Incidence of tuberculosis (per 100 000 population per year),2016,7.2 [6.1-8.3]
Jamaica,Incidence of tuberculosis (per 100 000 population per year),2016,4.4 [3.4-5.6]
Japan,Incidence of tuberculosis (per 100 000 population per year),2016,16 [14-18]
Jordan,Incidence of tuberculosis (per 100 000 population per year),2016,5.4 [4.2-6.9]
Kazakhstan,Incidence of tuberculosis (per 100 000 population per year),2016,73 [47-105]
Kenya,Incidence of tuberculosis (per 100 000 population per year),2016,348 [213-516]
Kiribati,Incidence of tuberculosis (per 100 000 population per year),2016,575 [441-728]
Kuwait,Incidence of tuberculosis (per 100 000 population per year),2016,24 [21-28]
Kyrgyzstan,Incidence of tuberculosis (per 100 000 population per year),2016,133 [114-154]
Lao People's Democratic Republic,Incidence of tuberculosis (per 100 000 population per year),2016,175 [113-250]
Latvia,Incidence of tuberculosis (per 100 000 population per year),2016,37 [32-43]
Lebanon,Incidence of tuberculosis (per 100 000 population per year),2016,11 [9.5-13]
Lesotho,Incidence of tuberculosis (per 100 000 population per year),2016,721 [448-1060]
Liberia,Incidence of tuberculosis (per 100 000 population per year),2016,308 [199-440]
Libya,Incidence of tuberculosis (per 100 000 population per year),2016,40 [25-58]
Lithuania,Incidence of tuberculosis (per 100 000 population per year),2016,54 [46-62]
Luxembourg,Incidence of tuberculosis (per 100 000 population per year),2016,5.8 [4.9-6.7]
Madagascar,Incidence of tuberculosis (per 100 000 population per year),2016,233 [151-333]
Malawi,Incidence of tuberculosis (per 100 000 population per year),2016,176 [94-282]
Malaysia,Incidence of tuberculosis (per 100 000 population per year),2016,94 [80-108]
Maldives,Incidence of tuberculosis (per 100 000 population per year),2016,44 [34-56]
Mali,Incidence of tuberculosis (per 100 000 population per year),2016,56 [37-79]
Malta,Incidence of tuberculosis (per 100 000 population per year),2016,13 [11-15]
Marshall Islands,Incidence of tuberculosis (per 100 000 population per year),2016,388 [297-490]
Mauritania,Incidence of tuberculosis (per 100 000 population per year),2016,102 [66-146]
Mauritius,Incidence of tuberculosis (per 100 000 population per year),2016,12 [9.2-15]
Mexico,Incidence of tuberculosis (per 100 000 population per year),2016,22 [17-28]
Micronesia (Federated States of),Incidence of tuberculosis (per 100 000 population per year),2016,169 [129-214]
Monaco,Incidence of tuberculosis (per 100 000 population per year),2016,0 [0-0]
Mongolia,Incidence of tuberculosis (per 100 000 population per year),2016,428 [220-703]
Montenegro,Incidence of tuberculosis (per 100 000 population per year),2016,16 [14-18]
Morocco,Incidence of tuberculosis (per 100 000 population per year),2016,103 [88-119]
Mozambique,Incidence of tuberculosis (per 100 000 population per year),2016,361 [223-532]
Myanmar,Incidence of tuberculosis (per 100 000 population per year),2016,372 [239-535]
Namibia,Incidence of tuberculosis (per 100 000 population per year),2016,604 [432-803]
Nauru,Incidence of tuberculosis (per 100 000 population per year),2016,110 [94-127]
Nepal,Incidence of tuberculosis (per 100 000 population per year),2016,260 [160-385]
Netherlands,Incidence of tuberculosis (per 100 000 population per year),2016,5.9 [5.1-6.9]
New Zealand,Incidence of tuberculosis (per 100 000 population per year),2016,7.3 [6.2-8.4]
Nicaragua,Incidence of tuberculosis (per 100 000 population per year),2016,46 [36-59]
Niger,Incidence of tuberculosis (per 100 000 population per year),2016,93 [60-132]
Nigeria,Incidence of tuberculosis (per 100 000 population per year),2016,219 [143-311]
Niue,Incidence of tuberculosis (per 100 000 population per year),2016,29 [25-33]
Norway,Incidence of tuberculosis (per 100 000 population per year),2016,6.1 [5.2-7]
Oman,Incidence of tuberculosis (per 100 000 population per year),2016,8.9 [7.6-10]
Pakistan,Incidence of tuberculosis (per 100 000 population per year),2016,268 [191-359]
Palau,Incidence of tuberculosis (per 100 000 population per year),2016,149 [128-172]
Panama,Incidence of tuberculosis (per 100 000 population per year),2016,56 [43-71]
Papua New Guinea,Incidence of tuberculosis (per 100 000 population per year),2016,432 [352-521]
Paraguay,Incidence of tuberculosis (per 100 000 population per year),2016,41 [35-48]
Peru,Incidence of tuberculosis (per 100 000 population per year),2016,120 [92-152]
Philippines,Incidence of tuberculosis (per 100 000 population per year),2016,554 [311-866]
Poland,Incidence of tuberculosis (per 100 000 population per year),2016,19 [16-21]
Portugal,Incidence of tuberculosis (per 100 000 population per year),2016,20 [17-23]
Qatar,Incidence of tuberculosis (per 100 000 population per year),2016,22 [19-25]
Republic of Korea,Incidence of tuberculosis (per 100 000 population per year),2016,76 [71-82]
Republic of Moldova,Incidence of tuberculosis (per 100 000 population per year),2016,101 [86-117]
The former Yugoslav Republic of Macedonia,Incidence of tuberculosis (per 100 000 population per year),2016,16 [12-20]
Romania,Incidence of tuberculosis (per 100 000 population per year),2016,74 [64-86]
Russian Federation,Incidence of tuberculosis (per 100 000 population per year),2016,63 [41-90]
Rwanda,Incidence of tuberculosis (per 100 000 population per year),2016,62 [48-78]
Saint Kitts and Nevis,Incidence of tuberculosis (per 100 000 population per year),2016,0 [0-0]
Saint Lucia,Incidence of tuberculosis (per 100 000 population per year),2016,1.9 [1.6-2.2]
Saint Vincent and the Grenadines,Incidence of tuberculosis (per 100 000 population per year),2016,6.3 [5.4-7.3]
Samoa,Incidence of tuberculosis (per 100 000 population per year),2016,7.7 [6.6-8.9]
San Marino,Incidence of tuberculosis (per 100 000 population per year),2016,0 [0-0]
Sao Tome and Principe,Incidence of tuberculosis (per 100 000 population per year),2016,162 [64-304]
Saudi Arabia,Incidence of tuberculosis (per 100 000 population per year),2016,10 [8.8-12]
Senegal,Incidence of tuberculosis (per 100 000 population per year),2016,122 [86-163]
Serbia,Incidence of tuberculosis (per 100 000 population per year),2016,19 [16-22]
Seychelles,Incidence of tuberculosis (per 100 000 population per year),2016,14 [12-17]
Sierra Leone,Incidence of tuberculosis (per 100 000 population per year),2016,304 [195-435]
Singapore,Incidence of tuberculosis (per 100 000 population per year),2016,50 [43-58]
Slovakia,Incidence of tuberculosis (per 100 000 population per year),2016,5.9 [5.1-6.9]
Slovenia,Incidence of tuberculosis (per 100 000 population per year),2016,6.5 [5.6-7.6]
Solomon Islands,Incidence of tuberculosis (per 100 000 population per year),2016,81 [62-103]
Somalia,Incidence of tuberculosis (per 100 000 population per year),2016,270 [175-385]
South Africa,Incidence of tuberculosis (per 100 000 population per year),2016,805 [561-1090]
South Sudan,Incidence of tuberculosis (per 100 000 population per year),2016,227 [147-324]
Spain,Incidence of tuberculosis (per 100 000 population per year),2016,12 [10-13]
Sri Lanka,Incidence of tuberculosis (per 100 000 population per year),2016,65 [48-84]
Sudan,Incidence of tuberculosis (per 100 000 population per year),2016,82 [55-115]
Suriname,Incidence of tuberculosis (per 100 000 population per year),2016,25 [19-32]
Sweden,Incidence of tuberculosis (per 100 000 population per year),2016,8.2 [7-9.5]
Switzerland,Incidence of tuberculosis (per 100 000 population per year),2016,7.9 [6.7-9.1]
Syrian Arab Republic,Incidence of tuberculosis (per 100 000 population per year),2016,22 [17-28]
Tajikistan,Incidence of tuberculosis (per 100 000 population per year),2016,85 [66-108]
Thailand,Incidence of tuberculosis (per 100 000 population per year),2016,160 [107-223]
Timor-Leste,Incidence of tuberculosis (per 100 000 population per year),2016,498 [322-712]
Togo,Incidence of tuberculosis (per 100 000 population per year),2016,46 [37-56]
Tonga,Incidence of tuberculosis (per 100 000 population per year),2016,9.1 [7.8-11]
Trinidad and Tobago,Incidence of tuberculosis (per 100 000 population per year),2016,18 [15-21]
Tunisia,Incidence of tuberculosis (per 100 000 population per year),2016,38 [29-48]
Turkey,Incidence of tuberculosis (per 100 000 population per year),2016,18 [15-20]
Turkmenistan,Incidence of tuberculosis (per 100 000 population per year),2016,46 [35-58]
Tuvalu,Incidence of tuberculosis (per 100 000 population per year),2016,205 [175-237]
Uganda,Incidence of tuberculosis (per 100 000 population per year),2016,201 [118-306]
Ukraine,Incidence of tuberculosis (per 100 000 population per year),2016,87 [56-124]
United Arab Emirates,Incidence of tuberculosis (per 100 000 population per year),2016,0.79 [0.67-0.91]
United Kingdom of Great Britain and Northern Ireland,Incidence of tuberculosis (per 100 000 population per year),2016,9.8 [8.9-11]
United Republic of Tanzania,Incidence of tuberculosis (per 100 000 population per year),2016,287 [136-495]
United States of America,Incidence of tuberculosis (per 100 000 population per year),2016,3.1 [2.7-3.6]
Uruguay,Incidence of tuberculosis (per 100 000 population per year),2016,30 [25-34]
Uzbekistan,Incidence of tuberculosis (per 100 000 population per year),2016,76 [53-103]
Vanuatu,Incidence of tuberculosis (per 100 000 population per year),2016,56 [43-72]
Venezuela (Bolivarian Republic of),Incidence of tuberculosis (per 100 000 population per year),2016,34 [26-43]
Viet Nam,Incidence of tuberculosis (per 100 000 population per year),2016,193 [122-281]
Yemen,Incidence of tuberculosis (per 100 000 population per year),2016,48 [42-54]
Zambia,Incidence of tuberculosis (per 100 000 population per year),2016,376 [244-535]
Zimbabwe,Incidence of tuberculosis (per 100 000 population per year),2016,233 [173-302]
