Location,Period,Indicator,First Tooltip
Saint Lucia,2016,Population using at least basic drinking-water services (%),97.82
Saint Vincent and the Grenadines,2016,Population using at least basic drinking-water services (%),95.15
Samoa,2016,Population using at least basic drinking-water services (%),100.0
San Marino,2016,Population using at least basic drinking-water services (%),100.0
Sao Tome and Principe,2016,Population using at least basic drinking-water services (%),76.95
Saudi Arabia,2016,Population using at least basic drinking-water services (%),99.86
Senegal,2016,Population using at least basic drinking-water services (%),68.52
Serbia,2016,Population using at least basic drinking-water services (%),83.27
Seychelles,2016,Population using at least basic drinking-water services (%),96.25
Sierra Leone,2016,Population using at least basic drinking-water services (%),48.52
Singapore,2016,Population using at least basic drinking-water services (%),100.0
Slovakia,2016,Population using at least basic drinking-water services (%),100.0
Slovenia,2016,Population using at least basic drinking-water services (%),99.4
Solomon Islands,2016,Population using at least basic drinking-water services (%),61.8
Somalia,2016,Population using at least basic drinking-water services (%),27.36
South Africa,2016,Population using at least basic drinking-water services (%),79.82
South Sudan,2016,Population using at least basic drinking-water services (%),35.67
Spain,2016,Population using at least basic drinking-water services (%),100.0
Sri Lanka,2016,Population using at least basic drinking-water services (%),87.04
Sudan,2016,Population using at least basic drinking-water services (%),53.2
Suriname,2016,Population using at least basic drinking-water services (%),87.46
Sweden,2016,Population using at least basic drinking-water services (%),100.0
Switzerland,2016,Population using at least basic drinking-water services (%),100.0
Syrian Arab Republic,2016,Population using at least basic drinking-water services (%),94.87
Tajikistan,2016,Population using at least basic drinking-water services (%),73.66
Thailand,2016,Population using at least basic drinking-water services (%),99.03
Timor-Leste,2016,Population using at least basic drinking-water services (%),67.49
Togo,2016,Population using at least basic drinking-water services (%),47.29
Tonga,2016,Population using at least basic drinking-water services (%),99.77
Trinidad and Tobago,2016,Population using at least basic drinking-water services (%),98.18
Tunisia,2016,Population using at least basic drinking-water services (%),87.99
Turkey,2016,Population using at least basic drinking-water services (%),98.62
Turkmenistan,2016,Population using at least basic drinking-water services (%),97.72
Tuvalu,2016,Population using at least basic drinking-water services (%),98.78
Uganda,2016,Population using at least basic drinking-water services (%),39.72
Ukraine,2016,Population using at least basic drinking-water services (%),91.32
United Arab Emirates,2016,Population using at least basic drinking-water services (%),97.41
United Kingdom of Great Britain and Northern Ireland,2016,Population using at least basic drinking-water services (%),100.0
United Republic of Tanzania,2016,Population using at least basic drinking-water services (%),40.81
United States of America,2016,Population using at least basic drinking-water services (%),96.97
Uruguay,2016,Population using at least basic drinking-water services (%),94.39
Uzbekistan,2016,Population using at least basic drinking-water services (%),95.86
Vanuatu,2016,Population using at least basic drinking-water services (%),87.79
Venezuela (Bolivarian Republic of),2016,Population using at least basic drinking-water services (%),95.78
Viet Nam,2016,Population using at least basic drinking-water services (%),91.68
Yemen,2016,Population using at least basic drinking-water services (%),54.7
Zambia,2016,Population using at least basic drinking-water services (%),41.18
Zimbabwe,2016,Population using at least basic drinking-water services (%),50.42
