Location,Indicator,Period,Dim1,First Tooltip
Jordan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.63
Kazakhstan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.3
Kenya,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.77
Kiribati,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.57
Kuwait,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.18
Kyrgyzstan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.63
Lao People's Democratic Republic,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.88
Latvia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.85
Lebanon,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.3
Lesotho,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.12
Liberia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.81
Libya,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.62
Lithuania,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.71
Luxembourg,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.1
Madagascar,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.32
Malawi,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.99
Malaysia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.48
Maldives,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.040999999999999995
Mali,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.25
Malta,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.12
Mauritania,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.87
Mauritius,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.11
Mexico,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.43
Micronesia (Federated States of),Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.98
Mongolia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.57
Montenegro,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.53
Morocco,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.56
Mozambique,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.94
Myanmar,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.41
Namibia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.55
Nepal,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.45
Netherlands,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.1
New Zealand,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.19
Nicaragua,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.57
Niger,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,4.15
Nigeria,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.96
Norway,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.18
Oman,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.42
Pakistan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.27
Panama,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.39
Papua New Guinea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.66
Paraguay,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.34
Peru,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.89
Philippines,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.25
Poland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.25
Portugal,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.26
Qatar,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.43
Republic of Korea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.51
Republic of Moldova,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.16
The former Yugoslav Republic of Macedonia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.37
Romania,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.39
Russian Federation,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.69
Rwanda,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.37
Saint Lucia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.18
Saint Vincent and the Grenadines,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.19
Samoa,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.5
Sao Tome and Principe,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.86
Saudi Arabia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.65
Senegal,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.27
Serbia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.33
Seychelles,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.56
Sierra Leone,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,4.13
Singapore,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.08199999999999999
Slovakia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.36
Slovenia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.29
Solomon Islands,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.94
Somalia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,4.58
South Africa,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.24
South Sudan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.99
Spain,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.2
Sri Lanka,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.42
Sudan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.93
Suriname,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.37
Sweden,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.38
Switzerland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.096
Syrian Arab Republic,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.38
Tajikistan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.18
Thailand,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.41
Timor-Leste,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.43
Togo,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.39
Tonga,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.33
Trinidad and Tobago,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.24
Tunisia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.46
Turkey,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.31
Turkmenistan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.74
Uganda,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.18
Ukraine,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.55
United Arab Emirates,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.26
United Kingdom of Great Britain and Northern Ireland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.23
United Republic of Tanzania,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.69
United States of America,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.9
Uruguay,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.41
Uzbekistan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.03
Vanuatu,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.85
Venezuela (Bolivarian Republic of),Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.29
Viet Nam,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.92
Yemen,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.77
Zambia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.94
Zimbabwe,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.23
