,Location,Period,Indicator,First Tooltip
724,Ecuador,2015,"Nursing and midwifery personnel (per 10,000)",25.12
747,Egypt,2015,"Nursing and midwifery personnel (per 10,000)",19.41
755,El Salvador,2015,"Nursing and midwifery personnel (per 10,000)",17.58
764,Eritrea,2015,"Nursing and midwifery personnel (per 10,000)",11.85
771,Estonia,2015,"Nursing and midwifery personnel (per 10,000)",63.52
800,Eswatini,2015,"Nursing and midwifery personnel (per 10,000)",36.01
819,Fiji,2015,"Nursing and midwifery personnel (per 10,000)",30.18
826,Finland,2015,"Nursing and midwifery personnel (per 10,000)",8.7
846,France,2015,"Nursing and midwifery personnel (per 10,000)",106.0
869,Gambia,2015,"Nursing and midwifery personnel (per 10,000)",15.45
881,Georgia,2015,"Nursing and midwifery personnel (per 10,000)",40.17
903,Germany,2015,"Nursing and midwifery personnel (per 10,000)",129.1
922,Ghana,2015,"Nursing and midwifery personnel (per 10,000)",20.02
932,Greece,2015,"Nursing and midwifery personnel (per 10,000)",35.01
964,Guatemala,2015,"Nursing and midwifery personnel (per 10,000)",0.54
968,Guinea,2015,"Nursing and midwifery personnel (per 10,000)",4.17
974,Guinea-Bissau,2015,"Nursing and midwifery personnel (per 10,000)",5.55
984,Guyana,2015,"Nursing and midwifery personnel (per 10,000)",6.97
991,Haiti,2015,"Nursing and midwifery personnel (per 10,000)",2.82
997,Honduras,2015,"Nursing and midwifery personnel (per 10,000)",6.7
1006,Hungary,2015,"Nursing and midwifery personnel (per 10,000)",66.85
1035,Iceland,2015,"Nursing and midwifery personnel (per 10,000)",163.1
1064,India,2015,"Nursing and midwifery personnel (per 10,000)",14.51
1082,Indonesia,2015,"Nursing and midwifery personnel (per 10,000)",12.99
1092,Iran (Islamic Republic of),2015,"Nursing and midwifery personnel (per 10,000)",18.91
1101,Iraq,2015,"Nursing and midwifery personnel (per 10,000)",16.5
1106,Ireland,2015,"Nursing and midwifery personnel (per 10,000)",163.7
1125,Israel,2015,"Nursing and midwifery personnel (per 10,000)",54.47
1149,Italy,2015,"Nursing and midwifery personnel (per 10,000)",57.15
1165,Jamaica,2015,"Nursing and midwifery personnel (per 10,000)",14.51
1188,Jordan,2015,"Nursing and midwifery personnel (per 10,000)",2.08
1204,Kazakhstan,2015,"Nursing and midwifery personnel (per 10,000)",72.94
1233,Kenya,2015,"Nursing and midwifery personnel (per 10,000)",8.65
1252,Kuwait,2015,"Nursing and midwifery personnel (per 10,000)",71.51
1291,Lao People's Democratic Republic,2015,"Nursing and midwifery personnel (per 10,000)",10.5
1303,Latvia,2015,"Nursing and midwifery personnel (per 10,000)",48.36
1332,Lebanon,2015,"Nursing and midwifery personnel (per 10,000)",15.42
1344,Liberia,2015,"Nursing and midwifery personnel (per 10,000)",1.01
1360,Lithuania,2015,"Nursing and midwifery personnel (per 10,000)",79.03
1387,Luxembourg,2015,"Nursing and midwifery personnel (per 10,000)",123.3
1429,Malaysia,2015,"Nursing and midwifery personnel (per 10,000)",33.6
1440,Maldives,2015,"Nursing and midwifery personnel (per 10,000)",65.73
1459,Malta,2015,"Nursing and midwifery personnel (per 10,000)",83.7
1482,Mauritania,2015,"Nursing and midwifery personnel (per 10,000)",10.22
1490,Mauritius,2015,"Nursing and midwifery personnel (per 10,000)",33.83
1503,Mexico,2015,"Nursing and midwifery personnel (per 10,000)",24.17
1530,Mongolia,2015,"Nursing and midwifery personnel (per 10,000)",37.88
1540,Montenegro,2015,"Nursing and midwifery personnel (per 10,000)",53.46
1559,Mozambique,2015,"Nursing and midwifery personnel (per 10,000)",6.38
1590,Namibia,2015,"Nursing and midwifery personnel (per 10,000)",18.86
1596,Nauru,2015,"Nursing and midwifery personnel (per 10,000)",67.31
1609,Netherlands,2015,"Nursing and midwifery personnel (per 10,000)",107.5
1638,New Zealand,2015,"Nursing and midwifery personnel (per 10,000)",119.9
1654,Nicaragua,2015,"Nursing and midwifery personnel (per 10,000)",13.67
1667,Niger,2015,"Nursing and midwifery personnel (per 10,000)",2.04
1692,Norway,2015,"Nursing and midwifery personnel (per 10,000)",178.6
1709,Oman,2015,"Nursing and midwifery personnel (per 10,000)",45.3
1730,Pakistan,2015,"Nursing and midwifery personnel (per 10,000)",4.75
1759,Panama,2015,"Nursing and midwifery personnel (per 10,000)",27.62
1789,Paraguay,2015,"Nursing and midwifery personnel (per 10,000)",6.67
1797,Peru,2015,"Nursing and midwifery personnel (per 10,000)",20.66
1819,Poland,2015,"Nursing and midwifery personnel (per 10,000)",57.8
1846,Portugal,2015,"Nursing and midwifery personnel (per 10,000)",65.32
1871,Republic of Korea,2015,"Nursing and midwifery personnel (per 10,000)",59.84
1883,Republic of Moldova,2015,"Nursing and midwifery personnel (per 10,000)",50.04
1909,The former Yugoslav Republic of Macedonia,2015,"Nursing and midwifery personnel (per 10,000)",37.92
1952,Russian Federation,2015,"Nursing and midwifery personnel (per 10,000)",89.66
1971,Rwanda,2015,"Nursing and midwifery personnel (per 10,000)",9.88
1977,Saint Kitts and Nevis,2015,"Nursing and midwifery personnel (per 10,000)",42.19
1999,Saint Vincent and the Grenadines,2015,"Nursing and midwifery personnel (per 10,000)",95.05
2020,Sao Tome and Principe,2015,"Nursing and midwifery personnel (per 10,000)",22.17
2035,Senegal,2015,"Nursing and midwifery personnel (per 10,000)",1.92
2040,Serbia,2015,"Nursing and midwifery personnel (per 10,000)",76.17
2070,Singapore,2015,"Nursing and midwifery personnel (per 10,000)",60.09
2086,Slovakia,2015,"Nursing and midwifery personnel (per 10,000)",60.09
2104,Slovenia,2015,"Nursing and midwifery personnel (per 10,000)",88.24
2135,South Africa,2015,"Nursing and midwifery personnel (per 10,000)",12.69
2155,Spain,2015,"Nursing and midwifery personnel (per 10,000)",52.61
2179,Sri Lanka,2015,"Nursing and midwifery personnel (per 10,000)",19.61
2205,Sudan,2015,"Nursing and midwifery personnel (per 10,000)",8.25
2215,Suriname,2015,"Nursing and midwifery personnel (per 10,000)",20.87
2223,Sweden,2015,"Nursing and midwifery personnel (per 10,000)",117.2
2250,Switzerland,2015,"Nursing and midwifery personnel (per 10,000)",168.6
2309,Thailand,2015,"Nursing and midwifery personnel (per 10,000)",23.68
2326,Timor-Leste,2015,"Nursing and midwifery personnel (per 10,000)",14.82
2338,Togo,2015,"Nursing and midwifery personnel (per 10,000)",3.02
2354,Trinidad and Tobago,2015,"Nursing and midwifery personnel (per 10,000)",34.83
2371,Tunisia,2015,"Nursing and midwifery personnel (per 10,000)",26.7
2380,Turkey,2015,"Nursing and midwifery personnel (per 10,000)",26.22
2429,Uganda,2015,"Nursing and midwifery personnel (per 10,000)",15.57
2453,United Arab Emirates,2015,"Nursing and midwifery personnel (per 10,000)",49.83
2482,United Kingdom of Great Britain and Northern Ireland,2015,"Nursing and midwifery personnel (per 10,000)",82.94
2545,Viet Nam,2015,"Nursing and midwifery personnel (per 10,000)",14.23
2560,Yemen,2015,"Nursing and midwifery personnel (per 10,000)",7.24
2578,Zimbabwe,2015,"Nursing and midwifery personnel (per 10,000)",13.83
