Location,Period,Indicator,Dim1,First Tooltip
Canada,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.94
Central African Republic,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.38
Chad,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.37
Chile,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.07
China,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.05
Colombia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.74
Comoros,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.69
Congo,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.27
Costa Rica,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.87
Côte d’Ivoire,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.71
Croatia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.23
Cuba,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.83
Cyprus,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.81
Czechia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,14.45
Democratic People's Republic of Korea,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.8
Democratic Republic of the Congo,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.0
Denmark,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.26
Djibouti,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.43
Dominica,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.18
Dominican Republic,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.68
Ecuador,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.2
Egypt,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.36
El Salvador,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.89
Equatorial Guinea,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.23
Eritrea,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.44
Estonia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.23
Eswatini,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.04
Ethiopia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.36
Fiji,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.32
Finland,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.78
France,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.33
Gabon,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.74
Gambia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.55
Georgia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.25
Germany,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.91
Ghana,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.75
Greece,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.18
Grenada,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.48
Guatemala,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.45
Guinea,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.11
Guinea-Bissau,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.38
Guyana,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.89
Haiti,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.73
Honduras,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.76
Hungary,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.35
Iceland,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.12
India,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.54
Indonesia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.57
Iran (Islamic Republic of),2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.03
Iraq,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.39
Ireland,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.88
Israel,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.21
Italy,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.84
Jamaica,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.22
Japan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.96
Jordan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.69
Kazakhstan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.76
Kenya,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.78
Kiribati,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.46
Kuwait,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.003
Kyrgyzstan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.26
Lao People's Democratic Republic,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.72
Latvia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.77
Lebanon,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.71
Lesotho,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.59
Liberia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.12
Libya,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.019
Lithuania,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,13.22
Luxembourg,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.94
Madagascar,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.97
Malawi,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.63
Malaysia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.85
Maldives,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.22
Mali,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.28
Malta,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.99
Mauritania,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.036000000000000004
Mauritius,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.35
Mexico,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.0
Micronesia (Federated States of),2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.48
Mongolia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.19
Montenegro,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.47
Morocco,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.69
Mozambique,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.3
Myanmar,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.12
Namibia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.43
Nauru,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.71
Nepal,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.05
Netherlands,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.61
New Zealand,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.63
Nicaragua,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.18
Niger,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.67
Nigeria,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.84
Niue,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.68
Norway,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.41
Oman,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.78
Pakistan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.34
Panama,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.98
Papua New Guinea,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.39
Paraguay,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.58
Peru,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.38
Philippines,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.86
Poland,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.71
Portugal,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.03
Qatar,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.59
Republic of Korea,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.7
Republic of Moldova,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.43
The former Yugoslav Republic of Macedonia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.16
Romania,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.74
Russian Federation,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.19
Rwanda,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.95
Saint Kitts and Nevis,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.94
Saint Lucia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.6
Saint Vincent and the Grenadines,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.06
Samoa,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.66
Sao Tome and Principe,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.88
Saudi Arabia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.19
Senegal,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.76
Serbia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.75
Seychelles,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,20.5
Sierra Leone,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.7
Singapore,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.03
Slovakia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.14
Slovenia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.9
Solomon Islands,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.83
Somalia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.009000000000000001
South Africa,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.52
Spain,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.72
Sri Lanka,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.1
Sudan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.51
Suriname,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.33
Sweden,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.93
Switzerland,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.53
Syrian Arab Republic,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.24
Tajikistan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.28
Thailand,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.3
Timor-Leste,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.17
Togo,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.46
Tonga,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.8
Trinidad and Tobago,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.72
Tunisia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.12
Turkey,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.05
Turkmenistan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.93
Tuvalu,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.52
Uganda,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,15.09
Ukraine,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.32
United Arab Emirates,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.9
United Kingdom of Great Britain and Northern Ireland,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.45
United Republic of Tanzania,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.27
United States of America,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.87
Uruguay,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.92
Uzbekistan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.59
Vanuatu,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.25
Venezuela (Bolivarian Republic of),2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.14
Viet Nam,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.66
Yemen,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.051
Zambia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.54
Zimbabwe,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.67
