"Data Source","WDI Database Archives",

"Last Updated Date","2020-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"American Samoa","ASM","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3006.88559721703","2916.34084931494","2984.06936029875","3069.14615677273","3114.62152796374","3069.53099337651","3231.09709776865","3397.77457403858","3500.67575977127","3405.13435209159","3498.78777031975","3383.74768452705","3259.52339184422","3124.08093017899","3138.08135208935","2902.73611888649","2447.24911014118","2163.88312111706","1532.1993055077","1160.98990528","","","","","","","",
"Australia","AUS","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2959.97295283629","2936.08481042094","3010.18740139566","2986.01302896645","3077.33640604729","3007.58790071374","3180.39381433827","3345.88495821773","3491.90223207289","3516.35195682002","3523.95162545697","3323.62388980226","3233.80341565747","3036.42891593239","3064.82535911674","2787.72740592376","2398.949935574","2079.4063530319","1538.69621516728","1139.65881426","","","","","","","",
"Austria","AUT","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3333.43678767817","3318.97204323047","3382.67369777503","3386.67413838991","3406.57683530726","3402.75910443202","3599.77685692815","3740.68056837053","3954.47650455652","3960.98297343449","3988.95693171663","3761.15329109484","3616.33687656012","3413.39527421812","3422.2133867284","3099.13101146102","2641.17686749622","2340.99154169436","1732.11098286831","1323.68739395","","","","","","","",
"Azerbaijan","AZE","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1078.56225681009","1088.56850955044","1012.59869381479","746.741713278369","826.37985662428","835.00133761027","907.003681651153","883.148591145784","731.076103015414","768.974800742438","684.489697967563","751.84397060185","949.823981897352","852.499860863555","1034.22319847046","888.214506613628","754.820089974296","700.848215618235","477.798109418569","346.64438217","","","","","","","",
"Burundi","BDI","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1439.05056734096","1549.84223791644","1314.36724688127","1364.12196005949","1397.06283390866","1349.4032626918","1586.85557498584","1516.64476594456","1491.0947298497","1861.62364106495","1634.5419069563","1565.83294460664","1809.76509990888","1849.10840031588","1911.88953167755","2302.07839560958","2085.22407897002","1857.43132839146","1258.81129093117","896.4605172","","","","","","","",
"Belgium","BEL","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3374.58528154516","3442.96930694143","3320.34385900889","3296.38018324896","3287.44063112646","3286.46411679859","3541.39379972287","3610.73289148499","3878.66133583879","3950.75419751781","3970.2618937152","3719.71310519954","3527.07657930758","3372.66850338198","3406.61429918289","3122.18050764672","2670.95754068383","2378.93981472778","1777.56223933771","1323.76704558","","","","","","","",
"Benin","BEN","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024.86197690975","1993.0985906507","1893.61890224928","1990.3463432559","2069.96410262381","1985.0203697741","2367.03168535751","2227.83837092939","2531.43029974373","2555.44421376412","2651.55381011086","2511.02735310889","2441.61885480726","2300.74208163986","2388.0655534365","2163.14513687194","1896.21398717505","1510.26185420349","1145.33626797761","832.99666834","","","","","","","",
"Burkina Faso","BFA","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1730.77573396947","1714.53851091087","1834.90913608294","1783.71309758645","1860.33973009342","1787.72732277805","1805.81932103326","2177.6480169336","2460.28051475348","2844.94567197152","3155.39028188581","2843.24535041784","2880.47196699049","2657.34261720462","2274.19406018595","2244.30665142502","1906.51724690753","1736.64687205391","1354.05583132102","889.01639944","","","","","","","",
"Bangladesh","BGD","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1646.19510870134","1604.5731531607","1920.18661391078","1853.44593954868","1814.97996644164","1794.17275360535","1912.91120996553","1951.54451516565","1975.99479491155","2028.23083592638","1846.01222776888","1827.73014020777","1668.95031310788","1513.914175927","1547.73554748253","1428.02890086983","1210.50852359871","1010.30663021101","689.383528102269","474.319244","","","","","","","",
"Bulgaria","BGR","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3321.93433578105","3127.37300569312","3211.30745007494","3136.96460977544","2977.60982995556","2728.87194107813","2772.61441319794","3037.83600618133","3282.71069254795","3219.04666841489","3201.13478666984","2838.7791850994","2778.62136397596","2631.2350670837","2505.57134214541","2275.96330523623","1919.87250999373","1744.99925814484","1239.32819510035","927.75719012","","","","","","","",
"Bahrain","BHR","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3115.16786079449","3093.79779318295","3168.93591660954","3046.53708890041","3078.86445704648","3032.6362813439","3207.64566801831","3322.09682289183","3545.33025025422","3567.19945307048","3622.50537488582","3459.16379851142","3399.41402972037","3266.57636834327","3234.72541383947","2934.39345252691","2454.41074071913","2071.76421914839","1515.04425234834","1075.30003151","","","","","","","",
"Bahamas, The","BHS","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1793.78313697536","1805.17010136126","1904.93028503083","2040.6172094841","2119.06130771236","2157.85512249779","2295.31876853468","2401.0968104127","2537.31254385587","2587.25038546355","2452.32484666885","2372.33271623413","2186.84140817744","2069.79270185836","2123.64214442245","1905.79727689818","1627.78237835752","1393.96932191435","1006.63687616393","779.62530434","","","","","","","",
"Bosnia and Herzegovina","BIH","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1821.09860930599","2054.59498778855","1965.84397447372","1883.06030137781","2412.87284562414","2568.09389522163","2874.2853705564","3147.01976655616","3651.78508639792","3037.21331790906","3004.6086929386","2935.77062909992","2966.61362870061","2952.55227471187","3073.78367096069","2838.05564499244","2481.94873055004","2207.51306605382","1611.10428887651","1210.00958157","","","","","","","",
"Belarus","BLR","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3206.77968201149","3395.00334820703","3708.77271273384","3474.05769731149","3451.38597065486","3407.68961779761","3447.75433289421","3533.47780744018","3919.78535770489","3957.202842673","3924.71526542159","3553.91925674369","3358.83652169677","2956.92651399461","2906.95055741076","3185.10131146096","2469.0431575709","2392.83434139043","1518.29945458984","1118.37118561","","","","","","","",
"Belize","BLZ","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2838.93953320958","2593.26163632075","2651.5016970519","2644.88991533167","2584.55395391443","2421.8786746641","2722.4177934392","2769.65894101226","3006.07473886691","2965.18422032616","3131.83744605252","3033.42955469866","3079.12040942947","2918.57938829296","3001.5123028194","2686.21629094194","2326.33395154951","2023.91842641328","1483.58169192976","1139.31166984","","","","","","","",
"Bermuda","BMU","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2749.81485301453","2895.56932307295","2935.84223306972","2755.08414701774","2616.45442369739","2655.72207047043","2847.41399123335","3140.93866528849","3349.39649469502","3422.48962107159","3543.63910528323","3439.00407067185","3274.16674315388","2972.18278495969","2994.58122434301","2712.11822590164","2435.40145018113","2158.59733756605","1678.28457320494","1225.15444501","","","","","","","",
"Brazil","BRA","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1935.64376553786","1819.55419350186","1932.75365942496","1918.76334488231","1922.83230199123","1813.68607268846","2024.57413316113","2218.38431244784","2326.85628159617","2462.5192157653","2178.83546092726","2099.53843786572","2003.51870240496","1954.16798317748","1988.49282953888","1906.99288853744","1601.00788034361","1409.77133639121","1056.16683721765","782.6651505","","","","","","","",
"Barbados","BRB","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3057.57732983954","3075.35119061811","2934.69435556409","2942.0315035466","2944.03126987749","2961.35745265077","3242.79772495556","3431.95710361645","3491.72134023715","3431.95302680536","3407.76498276914","3235.03343501346","3153.95079775823","3000.69029163769","2910.75810141429","2665.16530295253","2211.08492007305","1998.28133602345","1466.80440043261","1079.86980474","","","","","","","",
"Brunei","BRN","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3479.13435185419","3656.68074609327","3645.87137215296","3765.81910607355","3595.68444990812","3868.21556104879","3932.30674998901","4135.65639987457","4419.59518775437","4392.26460341143","4451.36951726027","4266.53080762318","4161.4274354113","4015.00129149297","4037.3997178738","3709.21545012943","3192.55211445479","2845.97365299517","2117.8665648877","1595.62140471","","","","","","","",
"Bhutan","BTN","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3031.5864772815","3481.08658026264","3388.42180305411","3347.2337450922","3367.68401644501","3528.95405363541","3820.39466393114","4165.72360639444","3926.36778443423","3817.13568326183","4037.78541835172","3977.17977441083","4097.13929677199","3846.62775589822","3771.28008130737","3557.7254954509","3018.33654759576","2351.18018322713","1689.36175729399","1244.20626494","","","","","","","",
"Botswana","BWA","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2352.08946526237","2364.25067380223","2544.09782804836","2541.6304320302","2599.84972913771","2802.44322168223","3410.27618978666","3700.66412378139","3509.2008227423","3867.01785744543","3935.76649130195","3619.83731422722","3509.09049524607","3246.54547682997","3227.58415750508","2640.46330576162","2154.32585949803","1871.77105397833","1363.66632960201","1003.25220707","","","","","","","",
"Sub-Saharan Africa (IFC classification)","CAA","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1802.69552865474","1755.44758403199","1654.43269967947","1660.13317019869","2003.11653028257","2160.78553243081","2164.57081253542","2360.1027514516","2410.8667826233","2261.38675731142","2502.4970377203","2257.92850954835","2266.82549086863","2218.93098825117","1824.80622197475","1992.35608766424","1761.02993762224","1533.68461615869","1152.60884449557","832.52812913","","","","","","","",
"Canada","CAN","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3206.43759758636","3185.08666890502","3155.47021269281","3175.46243435586","3148.61501126009","3165.88258508362","3358.99109021101","3477.21942652436","3717.47126354926","3722.52027569744","3720.08716380157","3487.56398237477","3366.14961134942","3167.04508880827","3179.35444585202","2894.51810728186","2474.08955270094","2187.43018964732","1626.3338215333","1205.81705585","","","","","","","",
"East Asia and the Pacific (IFC classification)","CEA","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2324.00164121775","2301.17550573013","2281.21578560969","2176.37488718249","2228.73388044082","2192.15237235867","2187.29690917404","2192.91658976115","2200.55118940944","2128.36941618295","2152.99734619451","2141.24563695841","2136.98485685316","2143.54678667575","2127.8380024933","2128.02199468971","2112.45876369416","2094.82410680887","1674.18319389536","1245.27914718218","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2410.18735649996","2451.35602984782","2472.78713962003","2459.48224291991","2481.27363939747","2494.41659058987","2732.9727270335","2887.61126008348","3093.21584314657","3095.25018918416","3152.31138475034","2956.19740017964","2839.14789782985","2873.89981579841","2890.47127246487","2618.14614840862","2264.67637014477","1988.26594837032","1519.00104050726","1122","","","","","","","",
"Channel Islands","CHI","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1958.7196227663","1920.23137621445","1922.02868431463","1965.96991650835","2039.36985718016","2144.11517626994","2349.06814279475","2467.46451301294","2119.04695564236","2165.69254085226","2169.09907427725","2130.98720198043","2079.54585765871","1952.03489163904","2124.33452589208","1948.59431165996","1667.50806058472","1491.54950671271","1104.21714844509","840.9126262","","","","","","","",
"China","CHN","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2272.51718199549","2096.57183525103","1990.99472906894","1881.54554343522","1839.9024184118","1722.74307286659","1707.51587788999","1791.51929413257","1923.55273284863","2017.83546931668","2060.94065784424","2040.23999535545","2239.53381023541","2237.22931447651","2352.94381858834","2222.48108781205","1956.16428239403","1734.6370963344","1283.54539901025","948.37425377","","","","","","","",
"Cote d'Ivoire","CIV","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1116.74867423494","1177.1393872979","1191.62373101205","1065.67899450165","1162.04181584697","1279.91283936249","1228.49555972112","1542.02489560262","1455.00819915499","1438.3136857264","1178.39238803633","1102.34739218672","1058.2639870727","1068.50889412907","1116.97149986364","1049.18109032289","890.136992263482","923.956276668026","724.277688250883","499.19154484","","","","","","","",
"Latin America and the Caribbean (IFC classification)","CLA","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1048.29153404132","742.482521461022","908.250839036294","767.364441098907","820.176785528364","951.30179811711","1172.9824709338","1321.72231046601","1420.42643456281","1293.61381615435","1261.4537525491","1152.5337116306","1098.66559770587","929.417621983569","1171.80723420099","1202.97100263812","1181.29201689111","880.491179083158","608.963056688179","388.84136907","","","","","","","",
"China and India","CNI","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275.406865197132","218.602771620422","334.056543682182","192.161333987225","273.854708965958","156.079041118307","262.02779265342","333.820576849065","1161.41409877717","1189.35321662062","1373.59235125257","1410.36091268597","1623.45033613615","2148.0726067779","1945.45001341193","1452.39208835299","1450.2385193348","1482.26176685229","898.314471894629","566.78810382","","","","","","","",
"Congo","COG","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2672.08017229285","2709.81406328033","2757.62420278734","2664.7793767976","2576.35272682562","2590.83841512866","2632.20912781361","2628.08713295804","2641.63634868502","2826.95707952851","3106.86774069084","3178.02043981868","2926.35870665606","2567.43125405228","2263.15293282913","2397.0107903578","2438.36765329154","2412.97118328248","1818.56101039276","1389.96188579","","","","","","","",
"Colombia","COL","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2513.66600496997","2821.45690642879","2835.04643493368","3166.51001222564","3369.95673291579","3584.91447206443","3797.46551611171","4041.84221668395","4408.69096590073","4162.94329390764","4097.47499934539","3762.71915651721","3525.31443514343","3231.50977430829","3330.21468824738","3017.18273182452","2637.67162491859","2354.90957007202","1752.70018163433","1277.11735578","","","","","","","",
"Comoros","COM","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2906.62840657771","2825.91573197669","2692.59176339674","2537.72148527727","2393.68566880526","2049.83903159571","1956.85733838832","2554.99719955097","2753.39574822269","2758.89160817289","2794.30978511686","2793.4343620358","2768.49478289662","2727.24478788233","2121.41405130903","1541.79194015119","1177.98827457195","1312.86302691039","719.64944584442","558.63129089","","","","","","","",
"Cape Verde","CPV","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3622.28147382528","3680.32172343701","3678.09295531497","3376.00273155993","3317.38288432018","3298.84439370941","3625.057759329","3768.29052066663","3954.73227040311","4022.7714727734","4033.9490558762","3882.12432475097","3723.44146513627","3414.20149646608","3412.71841432705","3001.68694627793","2573.09263607423","2285.50801305095","1677.80700504456","1270.51927634","","","","","","","",
"Costa Rica","CRI","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3442.52984902527","3427.38124701287","3421.20114511399","3525.78131154225","3510.6502578385","3523.16265322914","3624.95145856905","3793.04892497697","3999.94943212377","3841.9367844204","3744.25540789157","3446.3435874269","3244.91206459265","3093.07286868202","3193.59306155138","2961.16374695844","2574.94742803174","2289.83368073081","1691.46619283594","1235.34670542","","","","","","","",
"South Asia (IFC classification)","CSA","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechoslovakia","CSK","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2170.7313970228","2203.18721443122","2193.89904019693","2255.69394078752","2161.96209111661","2198.63383185196","2129.45386503247","2294.18614722192","2171.27141358143","2200.77570294489","2118.83349244642","2182.51038942268","2124.37031430914","2159.79194796052","2233.72107351915","2300.11063425523","1875.39564643982","1671.0829179951","1237.86562357122","906.622328568766","","","","","","","",
"Cuba","CUB","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4062.49284522525","4074.19363668215","4081.90833322083","4076.50040601059","4104.72399807531","4088.47639764616","4330.29558816132","4434.45012087198","4748.85177571006","4736.03416444335","4914.51912030107","4619.30086225999","4554.66166578356","4291.75453094822","4280.69316321784","3880.45069492322","3324.51697845029","2919.76793165307","2164.53070396032","1625.4227884","","","","","","","",
"Curacao","CUW","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1612.64139396393","1534.28280292598","1585.31784425365","1884.41956069597","1919.89777778856","1874.35201421435","2032.89388293451","2248.68618141178","2357.90296403966","2277.22129022923","2196.79454424335","2128.42480590953","2041.76005187329","1860.67738023065","1974.57973211845","1859.82973622786","1592.47890982809","1404.53817832083","1069.5057565955","768.82889181","","","","","","","",
"Czech Republic","CZE","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4089.97555138684","4080.05116973171","4062.84861787968","4069.36760236033","4071.66886536615","4064.36045655038","4308.84315382573","4523.81041177187","4720.31928341502","4689.46431081894","4598.11675866986","4326.93280420652","4076.13614545981","3704.70702800713","3758.04738007112","3433.64717894449","2943.74374565379","2610.90764232089","1933.35148410725","1437.13223323","","","","","","","",
"Germany","DEU","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3665.36309355533","3689.9886780619","3630.71176147679","3599.46705328559","3590.41916650704","3575.60956492747","3804.11491637292","3949.1431796736","4131.1588708078","4039.27546539854","4032.48424567163","3807.66468707437","3653.52269296981","3426.8658937818","3445.03193579323","3139.64857454865","2665.77843798821","2363.63860997732","1765.69732725637","1308.78132016","","","","","","","",
"Djibouti","DJI","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2672.13739093361","2581.13076107574","2770.9901637806","2976.41649082371","3187.99224478462","3050.22972936611","3120.40652144708","3232.97163418646","3602.65726565232","3534.29352438543","3710.16611184663","3393.49442625528","3371.99361988252","3198.68563235385","3200.54002634588","2466.7988393827","2055.27241648906","1835.30811486166","1350.1132227475","1085.93515977","","","","","","","",
